Nombre,Enlace,Categoria,CantidadArticulos
Complex Analysis and Operator Theory,https://www.springer.com/journal/11785,Q3,315
Computational Methods and Function Theory,https://www.scimagojr.com/journalsearch.php?q=21100205111&tip=sid&clean=0,Q3,120
Electronic Journal of e-Learning,https://www.scimagojr.com/journalsearch.php?q=21100201056&tip=sid&clean=0,Q3,85
Simulation and Gaming,http://sag.sagepub.com/,Q3,131
IET Communications,https://digital-library.theiet.org/content/journals/iet-com,Q3,994
"Transforming Government: People, Process and Policy",http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=tg,Q3,74
BMJ Health and Care Informatics,https://www.scimagojr.com/journalsearch.php?q=21100909462&tip=sid&clean=0,Q3,101
Dynamical Systems,http://www.informaworld.com/smpp/title~content=t713414890~db=all,Q3,103
ACM Transactions on Modeling and Computer Simulation,http://www.linklings.net/tomacs/,Q3,79
Cognitive Systems Research,http://www.elsevier.com/wps/find/journaldescription.cws_home/620288/description#description,Q3,245
Journal of Bioinformatics and Computational Biology,http://www.worldscinet.com/jbcb/jbcb.shtml,Q3,187
Natural Computing,http://www.springer.com/computer+science/theoretical+computer+science/foundations+of+computations/journal/11047,Q3,177
Journal of High Technology Management Research,http://www.elsevier.com/wps/find/journaldescription.cws_home/620219/description#description,Q3,57
Applied Sciences (Switzerland),https://www.mdpi.com/journal/applsci,Q3,4515
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",http://journals.cambridge.org/action/displayJournal?jid=AIE,Q3,101
International Journal of Technology Management,http://www.inderscience.com/browse/index.php?journalID=27,Q3,120
Constructivist Foundations,http://www.univie.ac.at/constructivism/journal/,Q3,360
IET Computer Vision,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4159597,Q3,311
Research in Learning Technology,https://www.scimagojr.com/journalsearch.php?q=21100229165&tip=sid&clean=0,Q3,79
Robotica,http://journals.cambridge.org/action/displayJournal?jid=ROB,Q3,372
Journal of Theoretical and Applied Electronic Commerce Research,http://www.jtaer.com/,Q3,56
Applied Sciences,http://www.mathem.pub.ro/apps/,Q3,88
Journal of Analytical Methods in Chemistry,https://www.scimagojr.com/journalsearch.php?q=21100204120&tip=sid&clean=0,Q3,311
