Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Journal of Coatings Technology Research,0.39899999999999997,Q4,39,162,370,https://www.springer.com/journal/11998,Sin informacion,No
Colloid and Polymer Science,0.39399999999999996,Q4,83,148,659,http://www.springer.com/chemistry/polymer+science/journal/396,0303-402X/1435-1536,A2
Journal of Molecular Modeling,0.345,Q4,65,374,1011,http://www.springer.com/chemistry/journal/894,0948-5023/1610-2940,B
"Reaction Kinetics, Mechanisms and Catalysis",0.345,Q4,39,210,577,https://www.springer.com/journal/11144,Sin informacion,No
Biocatalysis and Biotransformation,0.299,Q4,45,55,131,http://informahealthcare.com/loi/bab,1024-2422/1029-2446,B
Colloid Journal,0.299,Q4,31,97,300,http://www.springer.com/chemistry/polymer+science/journal/10595,Sin informacion,No
Iranian Journal of Catalysis,0.27,Q4,16,39,144,http://ijc.iaush.ac.ir/,2252-0236/2345-4865,B
Kinetics and Catalysis,0.27,Q4,33,90,301,https://www.springer.com/journal/10975,0023-1584/1608-3210,B
Catalysis in Industry,0.257,Q4,12,40,142,https://www.scimagojr.com/journalsearch.php?q=19700186874&tip=sid&clean=0,2070-0504/2070-0555,C
Journal of Membrane Science and Research,0.252,Q4,11,43,95,http://www.msrjournal.com/,2476-5406,B
Journal of Molecular Catalysis,0.251,Q4,15,52,192,https://www.scimagojr.com/journalsearch.php?q=21100323200&tip=sid&clean=0,1001-3555,C
Technology and Health Care,0.247,Q4,42,103,488,http://www.iospress.nl/loadtop/load.php?isbn=09287329,0928-7329/1878-7401,B
Current Nanoscience,0.24600000000000002,Q4,40,72,242,https://benthamscience.com/journals/current-nanomaterials/,1573-4137/1875-6786,A2
Health and Technology,0.24600000000000002,Q4,14,115,124,https://www.springer.com/journal/12553,2190-7188/2190-7196,B
Micro and Nano Letters,0.245,Q4,29,302,787,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=11102,1750-0443,B
Recent Patents on Biotechnology,0.245,Q4,33,27,76,https://benthamscience.com/journals/recent-patents-on-biotechnology/,1872-2083/2212-4012,B
International Journal of Nanotechnology,0.24100000000000002,Q4,33,35,274,http://www.inderscience.com/browse/index.php?journalID=54,1475-7435/1741-8151,B
Journal of Nanoscience and Nanotechnology (discontinued),0.235,Q4,101,0,3741,https://www.scimagojr.com/journalsearch.php?q=28546&tip=sid&clean=0,Sin informacion,No
Periodicals of Engineering and Natural Sciences,0.23399999999999999,Q4,7,202,131,http://pen.ius.edu.ba/index.php/pen,2303-4521,A2
Bezopasnost' Truda v Promyshlennosti,0.218,Q4,5,143,131,https://www.scimagojr.com/journalsearch.php?q=28662&tip=sid&clean=0,Sin informacion,No
