Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Tetsu-To-Hagane/Journal of the Iron and Steel Institute of Japan,0.284 ,Q4,33,142,296,http://www.isij.or.jp/E_Katsudo/E_Kaiho/e_index.htm,Sin informacion,No
Radiochemistry,0.281 ,Q4,21,107,285,http://www.springer.com/chemistry/journal/11137,1066-3622/1608-3288,C
European Journal of Mass Spectrometry,0.280 ,Q4,42,56,151,http://www.impublications.com/journal/ejms,1469-0667/1751-6838,B
Atomic Spectroscopy,0.276 ,Q4,30,35,103,https://www.scimagojr.com/journalsearch.php?q=23938&tip=sid&clean=0,0195-5373,B
Russian Journal of Physical Chemistry B,0.272 ,Q4,18,171,533,http://www.springer.com/chemistry/physical+chemistry/journal/11826,1990-7923/1990-7931,C
Trends in Glycoscience and Glycotechnology,0.267 ,Q4,35,90,98,https://www.scimagojr.com/journalsearch.php?q=26528&tip=sid&clean=0,0915-7352/1883-2113,C
International Journal of Materials Research,0.263 ,Q4,59,71,403,https://www.hanser-elibrary.com/loi/ijmr,1862-5282/2195-8556,B
"Acta crystallographica. Section C, Structural chemistry",0.262 ,Q4,14,224,569,https://www.scimagojr.com/journalsearch.php?q=21100316073&tip=sid&clean=0,Sin informacion,No
Russian Journal of Inorganic Chemistry,0.261 ,Q4,29,250,776,http://www.springer.com/chemistry/inorganic+chemistry/journal/11502,0036-0236/1531-8613,B
Journal of Analytical Chemistry,0.260 ,Q4,31,179,538,http://www.springer.com/chemistry/analytical+chemistry/journal/10809,1061-9348/1608-3199,C
Journal of Carbohydrate Chemistry,0.260 ,Q4,35,28,124,http://www.informaworld.com/smpp/title~content=t713617200~db=all,0732-8303/1532-2327,C
Russian Journal of Bioorganic Chemistry,0.260 ,Q4,24,108,312,http://www.springer.com/life+sciences/biochemistry+%26+biophysics/journal/11171,1068-1620/1608-330X,C
Transition Metal Chemistry,0.260 ,Q4,55,94,265,http://www.springer.com/chemistry/journal/11243,0340-4285/1572-901X,B
Journal of Spectroscopy,0.259 ,Q4,16,50,217,https://www.hindawi.com/journals/jspec/,2314-4920/2314-4939,B
Artificial DNA: PNA and XNA,0.257 ,Q4,13,0,1,https://www.scimagojr.com/journalsearch.php?q=19700188408&tip=sid&clean=0,Sin informacion,No
High Temperature Materials and Processes,0.257 ,Q4,20,101,350,http://www.freundpublishing.com/JOURNALS/materials_science_and_engineering.htm,0334-6455/2191-0324,B
Journal of Fuel Chemistry and Technology,0.257 ,Q4,33,179,576,http://manu60.magtech.com.cn/rlhxxb/EN/volumn/home.shtml,0253-2409/1872-5813,B
Analytical and Bioanalytical Chemistry Research,0.256 ,Q4,7,34,83,http://www.analchemres.org/,2383-093X,C
Progress in Rubber Plastics Recycling Technology,0.255 ,Q4,12,17,48,https://journals.sagepub.com/home/prp,Sin informacion,No
Natural Product Sciences,0.251 ,Q4,23,45,146,http://www.e-nps.or.kr/,1226-3907,B
Journal of Elementology,0.249 ,Q4,20,100,329,https://www.scimagojr.com/journalsearch.php?q=19200157041&tip=sid&clean=0,1644-2296,B
Hyperfine Interactions,0.248 ,Q4,45,132,323,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/10751,0304-3843/1572-9540,B
Heterocycles,0.244 ,Q4,63,206,653,http://www.elsevier.com/wps/find/journaldescription.cws_home/424830/description#description,0385-5414/1881-0942,B
Mini-Reviews in Organic Chemistry,0.244 ,Q4,37,56,129,https://benthamscience.com/journals/mini-reviews-in-organic-chemistry/,Sin informacion,No
Concepts in Magnetic Resonance Part A: Bridging Education and Research,0.241 ,Q4,46,0,59,http://www3.interscience.wiley.com/journal/122684470/grouphome/home.html,Sin informacion,No
LC-GC North America,0.241 ,Q4,35,7,255,http://chromatographyonline.findanalytichem.com/lcgc/issue/issueList.jsp?id=21,Sin informacion,No
Analytical and Bioanalytical Electrochemistry,0.240 ,Q4,15,120,281,http://www.abechem.com/,2008-4226,C
Ceramics - Silikaty,0.240 ,Q4,29,50,150,https://www.scimagojr.com/journalsearch.php?q=26583&tip=sid&clean=0,Sin informacion,No
Current Protocols in Nucleic Acid Chemistry,0.239 ,Q4,15,23,64,http://cda.currentprotocols.com/WileyCDA/CPTitle/isbn-047124662X.html,1934-9270/1934-9289,B
Macroheterocycles,0.239 ,Q4,16,54,197,https://www.scimagojr.com/journalsearch.php?q=20300195027&tip=sid&clean=0,1998-9539,C
Macromolecular Symposia,0.239 ,Q4,74,150,450,http://www3.interscience.wiley.com/journal/60500249/home,Sin informacion,No
Wuji Cailiao Xuebao/Journal of Inorganic Materials,0.238 ,Q4,23,191,622,http://wjclxb.periodicals.net.cn/default.html,Sin informacion,No
"Phosphorus, Sulfur and Silicon and the Related Elements",0.235 ,Q4,41,234,673,http://www.informaworld.com/smpp/title~content=t713618290~db=all,Sin informacion,No
Advances in Physical Chemistry,0.234 ,Q4,16,0,24,https://www.hindawi.com/journals/apc/contents/,1687-7985/1687-7993,C
Physical Chemistry Research,0.234 ,Q4,9,54,171,http://www.physchemres.org/,2322-5521/2345-2625,B
Heterocyclic Communications,0.233 ,Q4,23,25,181,http://hetcomm.tripod.com/ed_board.html,0793-0283/2191-0197,B
