Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Historia scientiarum : international journal of the History of Science Society of Japan,0.122 ,Q4,5,19,37,http://wwwsoc.nii.ac.jp/jshs/historiascientiarum/,Sin informacion,No
Ars Pharmaceutica (discontinued),0.121 ,Q4,19,0,57,http://farmacia.ugr.es/ars/arsen.php,Sin informacion,No
Dynamis,0.121 ,Q4,11,9,60,http://www.revistadynamis.es/en/,0211-9536/2340-7948,B
Agricultural History Review,0.120 ,Q4,18,5,41,http://www.bahs.org.uk/agrev.htm,0002-1490,C
British Journal for the History of Mathematics,0.120 ,Q4,5,12,61,https://www.scimagojr.com/journalsearch.php?q=21100938727&tip=sid&clean=0,2637-5451/2637-5494,C
Library and Information History,0.118 ,Q4,2,8,44,https://www.scimagojr.com/journalsearch.php?q=21100371972&tip=sid&clean=0,1758-3489/1758-3497,C
Metode,0.117 ,Q4,4,22,90,https://ojs.uv.es/index.php/Metode/index,2174-3487/2174-9221,C
Interdisciplinary Science Reviews,0.115 ,Q4,22,30,92,http://maney.co.uk/index.php/journals/isr/,0308-0188/1743-2790,C
International Journal of Humanities and Arts Computing,0.115 ,Q4,2,15,18,https://www.scimagojr.com/journalsearch.php?q=21100901130&tip=sid&clean=0,1753-8548/1755-1706,C
Osterreichische Zeitschrift fur Volkskunde,0.115 ,Q4,3,6,28,https://www.scimagojr.com/journalsearch.php?q=16300154760&tip=sid&clean=0,0029-9669,B
Universum,0.115 ,Q4,9,22,85,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-2376&lng=en&nrm=iso,0716-498X/0718-2376,C
Anthropos,0.114 ,Q4,12,16,96,https://www.anthropos.nomos.de/en/,0587-5161/2630-4082,C
Etudes / Inuit / Studies,0.114 ,Q4,6,0,11,https://www.scimagojr.com/journalsearch.php?q=5600152964&tip=sid&clean=0,Sin informacion,No
Enfance,0.113 ,Q4,12,26,101,http://www.cairn.info/revue.php?ID_REVUE=ENF,0013-7545/1969-6981,C
"New York Review of Books, The",0.113 ,Q4,23,0,206,https://www.scimagojr.com/journalsearch.php?q=23121&tip=sid&clean=0,Sin informacion,No
Topoi Orient Occident,0.113 ,Q4,3,0,11,https://www.scimagojr.com/journalsearch.php?q=21100356024&tip=sid&clean=0,Sin informacion,No
Andamios: Revista de Investigacion Social,0.112 ,Q4,7,51,151,https://www.uacm.edu.mx/andamios,Sin informacion,No
Digital Humanities Quarterly,0.112 ,Q4,1,0,40,https://www.scimagojr.com/journalsearch.php?q=21100898016&tip=sid&clean=0,1938-4122,C
Historisk Tidsskrift,0.112 ,Q4,6,15,84,http://www.historisktidsskrift.dk/,0018-263X/1504-2944,C
Library,0.112 ,Q4,12,7,52,http://library.oxfordjournals.org/,0024-2160/1744-8581,C
Revista Colombiana de Sociologia,0.112 ,Q4,1,27,21,https://www.scimagojr.com/journalsearch.php?q=20600195529&tip=sid&clean=0,Sin informacion,No
Asian and African Studies,0.111 ,Q4,3,15,37,http://www.sav.sk/index.php?lang=en&charset=&doc=journal&journal_no=30,1335-1257,B
Journal of European Studies,0.111 ,Q4,11,27,61,http://jes.sagepub.com/,0047-2441/1740-2379,C
Teaching Artist Journal,0.111 ,Q4,4,12,70,https://www.tandfonline.com/loi/htaj20,1541-1796/1541-180X,C
Ethnologia Europaea,0.110 ,Q4,12,0,39,https://ee.openlibhums.org/,0425-4597/1604-3030,B
Atenea,0.109 ,Q4,6,9,89,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-0462&lng=en&nrm=iso,0716-1840/0718-0462,C
Eighteenth Century,0.109 ,Q4,8,15,104,http://muse.jhu.edu/journals/the_eighteenth_century/,0193-5380/1935-0201,B
Volta Review,0.109 ,Q4,27,0,11,https://www.agbell.org/Advocacy/Volta-Review,0042-8639,B
Cadernos de Estudos Africanos,0.108 ,Q4,2,9,50,https://journals.openedition.org/cea/,1645-3794/2182-7400,C
Medizinhistorisches Journal,0.108 ,Q4,11,1,29,http://www.elsevier.com/wps/find/journaldescription.cws_home/701784/description#description,0025-8431,C
"Body, Space and Technology",0.107 ,Q4,1,14,8,https://www.scimagojr.com/journalsearch.php?q=21100899952&tip=sid&clean=0,Sin informacion,No
International Journal of Asian Studies,0.107 ,Q4,10,6,21,https://www.cambridge.org/core/journals/international-journal-of-asian-studies,1479-5914/1479-5922,C
International Journal of Contemporary Iraqi Studies,0.107 ,Q4,3,0,51,https://www.intellectbooks.com/journal-of-contemporary-iraq-the-arab-world,1751-2867/1751-2875,C
International Journal of the Inclusive Museum,0.107 ,Q4,5,8,46,https://www.scimagojr.com/journalsearch.php?q=19900193861&tip=sid&clean=0,1835-2014/1835-2022,C
Sociedade e Cultura,0.107 ,Q4,3,19,85,https://www.scimagojr.com/journalsearch.php?q=19900191875&tip=sid&clean=0,1415-8566/1980-8194,C
Wacana,0.107 ,Q4,2,26,74,http://wacana.ui.ac.id/index.php/wjhi,1411-2272/2407-6899,B
Global Journal Al-Thaqafah,0.106 ,Q4,5,0,65,http://www.gjat.my/,Sin informacion,No
Journal of Belarusian Studies,0.106 ,Q4,1,0,5,https://www.scimagojr.com/journalsearch.php?q=21100903716&tip=sid&clean=0,0075-4161/2052-6512,B
Soundings,0.106 ,Q4,5,18,65,https://www.scimagojr.com/journalsearch.php?q=17608&tip=sid&clean=0,0038-1861/2161-6302,B
Transcultural Studies,0.106 ,Q4,2,0,55,https://heiup.uni-heidelberg.de/journals/index.php/transcultural/index,2191-6411,C
Women's Studies,0.106 ,Q4,14,65,146,https://www.scimagojr.com/journalsearch.php?q=24329&tip=sid&clean=0,Sin informacion,No
Asian Journal of Peacebuilding,0.105 ,Q4,1,19,19,https://www.scimagojr.com/journalsearch.php?q=21100900272&tip=sid&clean=0,2288-2693/2288-2707,C
Kant Yearbook,0.105 ,Q4,2,6,24,https://www.degruyter.com/view/j/kantyb,1868-4599/1868-4602,C
Philosophia Africana,0.105 ,Q4,7,0,5,https://www.scimagojr.com/journalsearch.php?q=5700164798&tip=sid&clean=0,1944-7914,C
Schweizerisches Archiv fur Volkskunde,0.105 ,Q4,2,10,21,https://www.scimagojr.com/journalsearch.php?q=16600154705&tip=sid&clean=0,0036-794X,B
Transactions of the American Philosophical Society,0.105 ,Q4,7,0,6,https://www.scimagojr.com/journalsearch.php?q=5700168944&tip=sid&clean=0,Sin informacion,No
Actuel Marx,0.104 ,Q4,5,26,81,https://www.scimagojr.com/journalsearch.php?q=18400156703&tip=sid&clean=0,0994-4524,C
"Bulletin of Science, Technology and Society",0.104 ,Q4,25,0,6,https://www.scimagojr.com/journalsearch.php?q=19994&tip=sid&clean=0,Sin informacion,No
Centaurus,0.104 ,Q4,8,9,62,http://www.wiley.com/bw/journal.asp?ref=0008-8994,0008-8994/1600-0498,C
Cultura. International Journal of Philosophy of Culture and Axiology,0.104 ,Q4,5,12,61,https://www.scimagojr.com/journalsearch.php?q=19700182214&tip=sid&clean=0,Sin informacion,No
"East Asian science, technology, and medicine",0.104 ,Q4,3,0,9,https://www.scimagojr.com/journalsearch.php?q=21100216969&tip=sid&clean=0,Sin informacion,No
