Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Catalysts,0.722 ,Q3,40,1045,1274,https://www.mdpi.com/journal/catalysts,2073-4344,A2
New Journal of Chemistry,0.712 ,Q3,118,2148,5271,http://www.rsc.org/Publishing/Journals/nj/index.asp,1144-0546/1369-9261,A1
Helvetica Chimica Acta,0.575 ,Q3,81,91,233,http://www3.interscience.wiley.com/journal/5007133/home,0018-019X/1522-2675,A2
Catalysis Letters,0.567 ,Q3,117,386,949,http://www.springer.com/chemistry/journal/10562,1011-372X/1572-879X,A2
Colloids and Interface Science Communications,0.531 ,Q3,14,58,106,https://www.scimagojr.com/journalsearch.php?q=21100357506&tip=sid&clean=0,2215-0382,A2
Biologicals,0.517 ,Q3,53,76,243,http://www.elsevier.com/wps/find/journaldescription.cws_home/622793/description#description,1045-1056/1095-8320,A2
Journal of Nanoparticle Research,0.512 ,Q3,115,275,1125,https://www.springer.com/journal/11051,1388-0764/1572-896X,A2
Biocatalysis and Agricultural Biotechnology,0.506 ,Q3,30,532,570,https://www.journals.elsevier.com/biocatalysis-and-agricultural-biotechnology,1878-8181,A2
International Journal of Cosmetic Science,0.494 ,Q3,58,69,234,https://onlinelibrary.wiley.com/journal/14682494,0142-5463/1468-2494,A2
SAR and QSAR in Environmental Research,0.494 ,Q3,46,52,174,http://www.tandf.co.uk/journals/titles/1062936x.asp,1029-046X/1062-936X,A2
Catalysis Surveys from Asia,0.488 ,Q3,51,28,54,http://www.springer.com/chemistry/journal/10563,1571-1013/1572-8803,A2
BioNanoMaterials,0.484 ,Q3,10,0,36,https://www.degruyter.com/view/j/biomat,2193-0651,B
Journal of Materials Science: Materials in Electronics,0.477 ,Q3,67,2237,6495,http://www.springer.com/materials/optical+%26+electronic+materials/journal/10854,Sin informacion,No
Dose-Response,0.475 ,Q3,33,126,162,https://journals.sagepub.com/home/dos,Sin informacion,No
Journal of Experimental Nanoscience,0.469 ,Q3,31,14,168,http://www.informaworld.com/smpp/title~content=t716100757~db=all,1745-8080/1745-8099,A2
"Catalysis, Structure and Reactivity",0.465 ,Q3,9,1,29,https://www.scimagojr.com/journalsearch.php?q=21100908412&tip=sid&clean=0,Sin informacion,No
Journal of Microencapsulation,0.457 ,Q3,75,63,211,http://informahealthcare.com/loi/mnc,0265-2048/1464-5246,A2
Tetrahedron Asymmetry,0.454 ,Q3,106,0,340,http://www.elsevier.com/wps/find/journaldescription.cws_home/937/description#description,0957-4166/1362-511X,A2
Computer Methods in Biomechanics and Biomedical Engineering,0.451 ,Q3,54,127,538,http://www.informaworld.com/smpp/title~content=t713455284~db=all,1025-5842/1476-8259,A2
Nanotechnology for Environmental Engineering,0.440 ,Q3,8,16,46,https://www.scimagojr.com/journalsearch.php?q=21100924768&tip=sid&clean=0,2365-6379/2365-6387,A2
Chirality,0.439 ,Q3,75,97,336,http://www3.interscience.wiley.com/journal/37532/home/ProductInformation.html,0899-0042/1520-636X,B
Biomimetics,0.436 ,Q3,8,50,70,https://www.scimagojr.com/journalsearch.php?q=21100944489&tip=sid&clean=0,2313-7673,B
Journal of Agricultural Engineering,0.436 ,Q3,15,25,96,https://www.agroengineering.org/index.php/jae,1974-7071/2239-6268,A2
Protein Journal,0.428 ,Q3,50,67,161,http://www.springer.com/chemistry/organic+chemistry/journal/10930,1572-3887/1573-4943,B
Drug and Chemical Toxicology,0.422 ,Q3,42,194,235,https://www.tandfonline.com/loi/idct20,0148-0545/1525-6014,B
Bioengineered,0.421 ,Q3,30,63,201,https://www.tandfonline.com/toc/kbie20/current,2165-5979/2165-5987,B
BioResources,0.413 ,Q3,63,831,1328,https://ojs.cnr.ncsu.edu/index.php/BioRes,1930-2126,A2
Separations,0.412 ,Q3,9,56,124,https://www.scimagojr.com/journalsearch.php?q=21100921044&tip=sid&clean=0,2297-8739,B
Chemistry and Biodiversity,0.410 ,Q3,65,254,623,http://www3.interscience.wiley.com/journal/106056929/home?CRETRY=1&SRETRY=0,1612-1872/1612-1880,A2
Journal of Bioactive and Compatible Polymers,0.405 ,Q3,46,34,128,http://jbc.sagepub.com/,0883-9115/1530-8030,A2
Journal of Water Reuse and Desalination,0.402 ,Q3,12,42,156,https://www.scimagojr.com/journalsearch.php?q=21100286919&tip=sid&clean=0,2220-1319,A2
International Journal of Artificial Organs,0.397 ,Q3,56,118,276,http://www.artificial-organs.com/public/ijao/default.aspx,0391-3988/1724-6040,B
Journal of Micro and Nano-Manufacturing,0.392 ,Q3,9,33,107,http://micronanomanufacturing.asmedigitalcollection.asme.org/journal.aspx,Sin informacion,No
Journal of Applied Biomaterials and Functional Materials,0.390 ,Q3,26,40,178,http://journals.sagepub.com/home/jbf,2280-8000,B
Acta of Bioengineering and Biomechanics,0.386 ,Q3,23,72,230,http://www.actabio.pwr.wroc.pl/,1509-409X,B
High-Throughput,0.374 ,Q3,6,21,93,https://www.mdpi.com/journal/high-throughput,Sin informacion,No
Molecular Diversity,0.368 ,Q3,56,145,229,http://www.springer.com/life+sciences/biochemistry+%26+biophysics/journal/11030,1381-1991/1573-501X,A2
Journal of Chemical Health and Safety,0.364 ,Q3,20,46,132,https://www.journals.elsevier.com/journal-of-chemical-health-and-safety,1871-5532/1878-0504,A2
Avicenna Journal of Medical Biotechnology,0.362 ,Q3,18,28,121,https://www.scimagojr.com/journalsearch.php?q=19700174698&tip=sid&clean=0,2008-2835/2008-4625,B
Microarrays,0.352 ,Q3,3,0,9,https://www.mdpi.com/journal/microarrays,Sin informacion,No
Canadian Journal of Chemistry,0.346 ,Q3,66,102,458,http://pubs.nrc-cnrc.gc.ca/rp-ps/journalDetail.jsp?jcode=cjc&lang=eng,0008-4042/1480-3291,A2
International Journal of Nanoscience and Nanotechnology,0.342 ,Q3,3,26,31,https://www.scimagojr.com/journalsearch.php?q=21100913762&tip=sid&clean=0,1735-7004/2423-5911,A2
Nase More,0.341 ,Q3,13,25,156,https://www.scimagojr.com/journalsearch.php?q=24103&tip=sid&clean=0,0469-6255,A2
Animal Biotechnology,0.337 ,Q3,34,130,126,http://www.informaworld.com/smpp/title~content=t713597228~db=all,1049-5398/1532-2378,A2
International Journal of Self-Propagating High-Temperature Synthesis,0.337 ,Q3,11,52,127,https://www.scimagojr.com/journalsearch.php?q=19900193914&tip=sid&clean=0,Sin informacion,No
World Patent Information,0.331 ,Q3,30,36,119,http://www.elsevier.com/wps/find/journaldescription.cws_home/654/description#description,0172-2190,A2
Natural Gas Industry B,0.323 ,Q3,12,80,207,https://www.scimagojr.com/journalsearch.php?q=21100897123&tip=sid&clean=0,2352-8540/2352-8559,B
Applied Bionics and Biomechanics,0.320 ,Q3,20,65,177,http://www.informaworld.com/smpp/title~content=t778164488~db=all,1176-2322/1754-2103,B
Biomedical Physics and Engineering Express,0.317 ,Q3,12,222,438,https://iopscience.iop.org/journal/2057-1976,2057-1976,B
Chemical Engineering Transactions,0.316 ,Q3,32,917,4374,https://www.aidic.it/cet/index.htm,Sin informacion,No
Huozhayao Xuebao/Chinese Journal of Explosives and Propellants,0.313 ,Q3,19,108,346,https://www.scimagojr.com/journalsearch.php?q=12889&tip=sid&clean=0,Sin informacion,No
Polimeros,0.311 ,Q3,24,45,192,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-1428&lng=en&nrm=iso,0104-1428,B
"Engineering in Agriculture, Environment and Food",0.307 ,Q3,14,64,118,https://www.journals.elsevier.com/engineering-in-agriculture-environment-and-food,Sin informacion,No
Journal of Polymer Engineering,0.307 ,Q3,23,115,284,https://www.degruyter.com/view/journals/polyeng/polyeng-overview.xml,0334-6447/2191-0340,B
Petroleum Chemistry,0.307 ,Q3,21,182,506,http://www.springer.com/chemistry/journal/11494,0965-5441/1555-6239,B
Neuroscience and Biomedical Engineering,0.305 ,Q3,1,0,3,https://benthamscience.com/journals/neuroscience-and-biomedical-engineering/,Sin informacion,No
Journal of Biomedical Physics and Engineering,0.303 ,Q3,9,83,131,http://jbpe.ir/Journal_OJS/JBPE/index.php/jbpe,2251-7200,B
Journal of Pharmacy and Bioallied Sciences,0.301 ,Q3,31,163,242,http://www.jpbsonline.org/,0975-7406/0976-4879,A2
Instrumentation Science and Technology,0.298 ,Q3,23,42,157,http://www.informaworld.com/smpp/title~content=t713597258~db=all,1073-9149/1525-6030,B
Journal of Industrial Pollution Control (discontinued),0.295 ,Q3,12,0,176,http://www.icontrolpollution.com/,Sin informacion,No
International Polymer Processing,0.293 ,Q3,33,55,205,http://www.polymer-process.com/web/o_archiv.asp?task=04&o_id=2531143156-51,0930-777X,A2
Journal of Vinyl and Additive Technology,0.293 ,Q3,27,16,204,http://www3.interscience.wiley.com/journal/117935003/grouphome/home.html,1083-5601/1548-0585,A2
Physicochemical Problems of Mineral Processing,0.288 ,Q3,21,145,297,http://www.minproc.pwr.wroc.pl/journal/,0137-1282/1643-1049,B
Journal of Enhanced Heat Transfer,0.287 ,Q3,32,34,87,http://www.begellhouse.com/journals/4c8f5faa331b09ea.html,1026-5511/1065-5131,B
"Progress in Color, Colorants and Coatings",0.285 ,Q3,7,24,80,http://pccc.icrc.ac.ir/,Sin informacion,No
International Journal of Thermofluid Science and Technology,0.283 ,Q3,6,9,45,https://www.scimagojr.com/journalsearch.php?q=21100942927&tip=sid&clean=0,2706-9885,B
Green Processing and Synthesis,0.282 ,Q3,18,101,203,https://www.scimagojr.com/journalsearch.php?q=21100319031&tip=sid&clean=0,2191-9542/2191-9550,A2
Polish Journal of Chemical Technology,0.282 ,Q3,16,38,226,http://versita.com/science/chemistry/pjcht/,1509-8117/1899-4741,B
Polimery,0.280 ,Q3,24,68,258,https://www.scimagojr.com/journalsearch.php?q=26429&tip=sid&clean=0,0032-2725,B
Journal of the American Leather Chemists Association,0.279 ,Q3,30,52,144,https://www.scimagojr.com/journalsearch.php?q=27860&tip=sid&clean=0,0002-9726,B
New Zealand Journal of Forestry Science,0.278 ,Q3,28,12,69,https://www.scimagojr.com/journalsearch.php?q=23028&tip=sid&clean=0,0048-0134/1179-5395,B
BioNanoScience,0.277 ,Q3,21,137,379,https://www.scimagojr.com/journalsearch.php?q=21100204924&tip=sid&clean=0,2191-1630/2191-1649,B
Revista Mexicana de Ingeniera Qumica,0.277 ,Q3,16,100,242,http://rmiq.org/ojs311/index.php/rmiq,1665-2738,B
Chemical and Biochemical Engineering Quarterly,0.272 ,Q3,38,36,160,http://www.fkit.hr/cabeq/,0352-9568/1846-5153,B
"Tenside, Surfactants, Detergents",0.272 ,Q3,24,62,193,http://www.tsdjournal.com/web/o_archiv.asp?task=04&o_id=25921173837-114&navid=0,Sin informacion,No
Mechanical Sciences,0.271 ,Q3,20,46,90,https://www.mechanical-sciences.net/,2191-9151/2191-916X,A2
Cybernetics and Physics,0.270 ,Q3,6,43,79,http://cap.physcon.ru/,2223-7038/2226-4116,B
Nonlinear Engineering,0.270 ,Q3,10,74,91,https://www.degruyter.com/view/j/nleng,2192-8010/2192-8029,A2
Coke and Chemistry,0.269 ,Q3,11,91,241,https://www.springer.com/journal/11955,1068-364X/1934-8398,B
