Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Journal of Motor Learning and Development,0.743,Q3,8,9,81,https://journals.humankinetics.com/view/journals/jmld/jmld-overview.xml,2325-3193/2325-3215,A2
"Religion, Brain and Behavior",0.738,Q3,17,66,156,https://www.scimagojr.com/journalsearch.php?q=21100244224&tip=sid&clean=0,Sin informacion,No
Review of Philosophy and Psychology,0.736,Q3,30,47,137,https://link.springer.com/journal/13164,1878-5158/1878-5166,A1
Language and Cognition,0.733,Q3,5,23,50,https://www.scimagojr.com/journalsearch.php?q=19700170244&tip=sid&clean=0,1866-9808/1866-9859,A1
Behavioural Neurology,0.701,Q3,45,58,156,http://www.iospress.nl/loadtop/load.php?isbn=09534180,0953-4180/1875-8584,A2
Visual Cognition,0.6940000000000001,Q3,79,57,165,http://www.informaworld.com/smpp/title~content=t713683696~db=all,1350-6285/1464-0716,A1
Brain Injury,0.636,Q3,100,196,614,http://informahealthcare.com/loi/bij,0269-9052/1362-301X,B
Education and Training in Autism and Developmental Disabilities,0.636,Q3,46,32,91,http://daddcec.org/Publications/ETADDJournal.aspx,2154-1647,A2
International Journal of Early Years Education,0.636,Q3,28,38,96,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ciey20,0966-9760/1469-8463,A2
Journal of Communication Disorders,0.628,Q3,62,55,141,http://www.elsevier.com/wps/find/journaldescription.cws_home/505768/description#description,0021-9924/1873-7994,A1
Journal of Creative Behavior,0.628,Q3,50,89,124,http://www.creativeeducationfoundation.org/?page_id=47,0022-0175/2162-6057,A1
Educational Psychology in Practice,0.616,Q3,28,27,85,https://www.scimagojr.com/journalsearch.php?q=5800207890&tip=sid&clean=0,0266-7363/1469-5839,B
Spatial Cognition and Computation,0.61,Q3,31,13,43,https://www.scimagojr.com/journalsearch.php?q=5800208235&tip=sid&clean=0,1387-5868/1542-7633,A2
Monographs of the Society for Research in Child Development,0.606,Q3,62,6,102,http://www.wiley.com/bw/journal.asp?ref=0037-976X,0037-976X/1540-5834,A2
Journal of Language Evolution,0.601,Q3,6,0,55,https://www.scimagojr.com/journalsearch.php?q=21100896922&tip=sid&clean=0,2058-458X,A1
Early Childhood Education Journal,0.585,Q3,38,79,219,http://www.springer.com/education+%26+language/learning+%26+instruction/journal/10643,1082-3301/1573-1707,A2
Perception,0.5760000000000001,Q3,87,83,280,http://www.perceptionweb.com/,0301-0066/1468-4233,A2
Young Exceptional Children,0.5710000000000001,Q3,16,27,58,http://yec.sagepub.com/,1096-2506,A2
Journal of Public Child Welfare,0.569,Q3,19,48,91,http://www.informaworld.com/smpp/title~content=t792306942~db=all,1554-8732/1554-8740,A2
Cognitive Processing,0.5660000000000001,Q3,41,53,145,http://www.springer.com/biomed/neuroscience/journal/10339,1612-4782/1612-4790,A2
Infants and Young Children,0.565,Q3,41,24,77,http://journals.lww.com/iycjournal/pages/default.aspx,0896-3746/1550-5081,A2
