Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
New Space,0.413,Q3,8,27,105,https://home.liebertpub.com/publications/new-space/610,2168-0256/2168-0264,A2
Hospitality and Society,0.409,Q3,14,21,38,https://www.ingentaconnect.com/content/intellect/hosp,2042-7913/2042-7921,A2
International Journal of Tourism Cities,0.4,Q3,8,71,85,https://www.emeraldinsight.com/loi/ijtc,2056-5607/2056-5615,B
Advances in Accounting,0.392,Q3,27,28,108,http://www.elsevier.com/wps/find/journaldescription.cws_home/714520/description#description,Sin informacion,No
German Journal of Human Resource Management,0.389,Q3,5,16,39,https://uk.sagepub.com/en-gb/eur/german-journal-of-human-resource-management/journal202540#description,2397-0022/2397-0030,B
Journal of Risk Finance,0.38799999999999996,Q3,29,30,92,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=JRF,0965-7967/1526-5943,A2
Culture and Organization,0.387,Q3,15,40,76,https://www.tandfonline.com/toc/gsco20/current,1475-9551/1477-2760,A1
Australian Accounting Review,0.386,Q3,33,55,124,https://onlinelibrary.wiley.com/journal/18352561,1035-6908/1835-2561,B
Recherche et Applications en Marketing,0.385,Q3,7,27,68,https://journals.sagepub.com/home/rme#,2051-5707,B
Journal of China Tourism Research,0.381,Q3,18,53,75,https://www.tandfonline.com/loi/wctr20,1938-8160/1938-8179,A1
Tourism Review International,0.37799999999999995,Q3,5,7,70,https://www.scimagojr.com/journalsearch.php?q=21100886539&tip=sid&clean=0,1544-2721/1943-4421,B
Tourist Studies,0.377,Q3,45,33,68,https://journals.sagepub.com/home/tou,1468-7976/1741-3206,B
Worldwide Hospitality and Tourism Themes,0.374,Q3,17,53,218,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=whatt,1755-4217/1755-4225,A2
Journal of Islamic Marketing,0.37200000000000005,Q3,34,175,116,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jima,1759-0833/1759-0841,B
VINE Journal of Information and Knowledge Management Systems,0.371,Q3,28,54,89,https://www.emeraldinsight.com/journal/vine,2059-5891,A2
"Equality, Diversity and Inclusion",0.37,Q3,23,86,127,https://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=EDI,Sin informacion,No
Journal of Energy Markets,0.37,Q3,6,13,46,https://www.scimagojr.com/journalsearch.php?q=21100894526&tip=sid&clean=0,1756-3607/1756-3615,A2
Journal of Leisure Research,0.368,Q3,66,36,41,https://www.scimagojr.com/journalsearch.php?q=28894&tip=sid&clean=0,0022-2216/2159-6417,A2
"Journal of Mental Health Training, Education and Practice",0.368,Q3,13,51,100,https://www.scimagojr.com/journalsearch.php?q=21100205991&tip=sid&clean=0,Sin informacion,No
Advances in Developing Human Resources,0.36700000000000005,Q3,42,32,105,https://journals.sagepub.com/home/adh,1523-4223/1552-3055,B
Investment Analysts Journal,0.363,Q3,16,20,59,https://www.tandfonline.com/loi/riaj20,1029-3523/2077-0227,A2
Fashion and Textiles,0.361,Q3,10,34,85,https://fashionandtextiles.springeropen.com/,2198-0802,A1
Social Marketing Quarterly,0.361,Q3,24,22,65,https://journals.sagepub.com/home/smq,1524-5004/1539-4093,B
Journal of Employment Counseling,0.35700000000000004,Q3,26,12,46,http://www.counseling.org/Publications/Journals.aspx,0022-0787/2161-1920,B
Journal of Global Operations and Strategic Sourcing,0.354,Q3,21,27,47,https://www.emeraldinsight.com/journal/jgoss,2398-5364,B
Journal of Personnel Psychology,0.35100000000000003,Q3,24,21,64,https://www.scimagojr.com/journalsearch.php?q=19700175255&tip=sid&clean=0,1866-5888/2190-5150,B
International Journal of Systems Assurance Engineering and Management,0.35,Q3,20,172,444,https://www.springer.com/journal/13198,0975-6809/0976-4348,B
Journal of Applied Accounting Research,0.349,Q3,19,46,83,https://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=JAAR,0967-5426,B
Tourism in Marine Environments,0.34700000000000003,Q3,20,14,54,https://cognizantcommunication.com/publication/tourism-in-marine-environments/,1544-273X,A2
Labor History,0.341,Q3,18,62,111,Labor History,0023-656X/1469-9702,A1
New Directions for Evaluation,0.341,Q3,37,37,131,https://www.scimagojr.com/journalsearch.php?q=5600155030&tip=sid&clean=0,1097-6736,B
Employee Responsibilities and Rights Journal,0.34,Q3,29,17,53,http://www.springer.com/sociology/social+sciences%2C+general/journal/10672,0892-7545/1573-3378,B
International Journal of Managerial and Financial Accounting,0.34,Q3,9,16,64,https://www.inderscience.com/jhome.php?jcode=ijmfa,1753-6715/1753-6723,B
Asian Journal of Technology Innovation,0.336,Q3,12,18,72,https://www.scimagojr.com/journalsearch.php?q=19900192158&tip=sid&clean=0,1976-1597/2158-6721,B
Foundations and Trends in Marketing,0.33399999999999996,Q3,13,3,10,https://www.nowpublishers.com/MKT,1555-0753/1555-0761,B
Knowledge and Process Management,0.33399999999999996,Q3,41,29,72,http://www3.interscience.wiley.com/journal/6242/home,1092-4604/1099-1441,B
"International Journal of Data Mining, Modelling and Management",0.331,Q3,12,19,56,https://www.inderscience.com/jhome.php?jcode=ijdmmm,Sin informacion,No
Journal of Global Sport Management,0.331,Q3,6,63,49,https://www.scimagojr.com/journalsearch.php?q=21100941610&tip=sid&clean=0,2470-4067/2470-4075,B
Journal of Nonprofit and Public Sector Marketing,0.331,Q3,27,47,63,https://www.tandfonline.com/loi/wnon20,1049-5142/1540-6997,B
Accounting Historians Journal,0.32799999999999996,Q3,22,16,49,https://aaahq.org/AAH/Journal/Accounting-Historians-Journal,0148-4184/2327-4468,B
Sport Management Education Journal,0.326,Q3,4,6,35,https://journals.humankinetics.com/view/journals/smej/smej-overview.xml,1938-6974/2163-2367,B
EasternEuropean Journal of Enterprise Technologies,0.325,Q3,21,466,1618,http://journals.uran.ua/eejet,Sin informacion,No
International Journal of Technology Marketing,0.325,Q3,4,15,28,https://www.inderscience.com/jhome.php?jcode=ijtmkt,1741-878X/1741-8798,B
Health Marketing Quarterly,0.324,Q3,25,24,65,http://www.informaworld.com/smpp/title~content=t792306865~db=all,0735-9683/1545-0864,B
Asian Review of Accounting,0.32299999999999995,Q3,20,39,75,https://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ARA,1321-7348/1758-8863,B
Accounting Research Journal,0.32,Q3,13,46,91,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=arj,1030-9616,B
International Journal of Nonprofit and Voluntary Sector Marketing,0.319,Q3,9,37,69,https://onlinelibrary.wiley.com/journal/1479103x,1465-4520/1479-103X,B
International Journal of Grid and Utility Computing,0.316,Q3,16,64,97,https://www.inderscience.com/jhome.php?jcode=ijguc,1741-847X/1741-8488,B
International Journal of Finance and Economics,0.315,Q3,37,150,98,https://onlinelibrary.wiley.com/journal/10991158,1076-9307/1099-1158,B
Journal of Organizational Ethnography,0.314,Q3,12,34,62,https://www.emeraldinsight.com/journal/joe,2046-6749/2046-6757,A1
Journal of Hospitality and Tourism Education,0.311,Q3,22,42,61,https://www.tandfonline.com/loi/uhat20,1096-3758/2325-6540,B
International Journal of Digital Accounting Research,0.31,Q3,11,5,17,https://www.scimagojr.com/journalsearch.php?q=19700188202&tip=sid&clean=0,1577-8517,A2
Journal of Convention and Event Tourism,0.309,Q3,24,24,59,http://www.informaworld.com/smpp/title~content=t792303977~db=all,1547-0148/1547-0156,B
Risk Management and Insurance Review,0.309,Q3,15,16,47,http://www.wiley.com/bw/journal.asp?ref=1098-1616,1098-1616/1540-6296,B
European Journal of Tourism Research,0.308,Q3,14,43,127,http://ejtr.vumk.eu/,1314-0817/1994-7658,B
International Journal of Engineering Business Management,0.307,Q3,18,36,82,https://journals.sagepub.com/home/enb,1847-9790,B
Systemic Practice and Action Research,0.305,Q3,32,51,96,http://www.springer.com/business+%26+management/journal/11213,1094-429X/1573-9295,B
Review of Accounting and Finance,0.304,Q3,19,33,76,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=raf,1475-7702/1758-7700,A2
Journal of Decision Systems,0.3,Q3,20,16,137,https://www.scimagojr.com/journalsearch.php?q=19700181431&tip=sid&clean=0,1246-0125/2116-7052,B
Accounting and the Public Interest,0.299,Q3,8,4,17,https://www.scimagojr.com/journalsearch.php?q=19900193215&tip=sid&clean=0,1530-9320,B
European Journal of Futures Research,0.298,Q3,4,7,41,https://eujournalfuturesresearch.springeropen.com/,2195-2248/2195-4194,A2
"Journal of Arts Management, Law and Society",0.298,Q3,17,26,81,http://www.heldref.org/pubs/jamls/about.html,Sin informacion,No
Zeitschrift fur Arbeits- und Organisationspsychologie,0.298,Q3,16,16,46,http://www.hogrefe.de/zeitschriften/zeitschrift-fuer-arbeits-und-organisationspsychologie-a-o/,Sin informacion,No
Public Services Quarterly,0.29600000000000004,Q3,13,32,94,http://www.informaworld.com/smpp/title~content=t792306948~db=all,1522-8959/1522-9114,A2
Rural Society,0.295,Q3,21,15,47,http://search.informit.com.au/browseJournalTitle;res=E-LIBRARY;issn=1037-1656,1037-1656,B
Journal of Asia Business Studies,0.294,Q3,13,43,81,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jabs,1558-7894/1559-2243,A2
Journal of Research in Marketing and Entrepreneurship,0.294,Q3,19,13,35,https://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=JRME,1471-5201,B
Information and Computer Security,0.293,Q3,46,48,102,https://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ICS,2056-4961,A2
Journal of Vinyl and Additive Technology,0.293,Q3,27,16,204,http://www3.interscience.wiley.com/journal/117935003/grouphome/home.html,1083-5601/1548-0585,A2
"Sport, Business and Management: An International Journal",0.293,Q3,14,16,85,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=sbm,Sin informacion,No
Engineering Economics,0.292,Q3,27,51,172,http://inzeko.ktu.lt/index.php/EE,Sin informacion,No
