Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Topology and its Applications,0.594,Q3,44,367,920,https://www.journals.elsevier.com/topology-and-its-applications,0166-8641/1879-3207,B
Electronic Journal of Differential Equations,0.585,Q3,42,131,856,http://ejde.math.txstate.edu/,1072-6691/1550-6150,A2
Boundary Value Problems,0.561,Q3,33,195,596,https://boundaryvalueproblems.springeropen.com/,1687-2762/1687-2770,A1
Statistica Neerlandica,0.557,Q3,37,36,65,http://www.wiley.com/bw/journal.asp?ref=0039-0402,0039-0402/1467-9574,B
Electronic Journal of Linear Algebra,0.555,Q3,26,46,160,http://www.emis.de/journals/ELA/,1081-3810/1537-9582,B
Statistics Education Research Journal,0.539,Q3,11,15,88,https://iase-web.org/Publications.php?p=SERJ,1570-1824,A2
Advances in Geometry,0.537,Q3,20,57,112,https://www.degruyter.com/view/j/advg,1615-715X/1615-7168,B
"Symmetry, Integrability and Geometry: Methods and Applications (SIGMA)",0.532,Q3,31,101,354,http://www.emis.de/journals/SIGMA/,Sin informacion,No
Communications in Statistics - Theory and Methods,0.531,Q3,52,775,1782,http://www.informaworld.com/smpp/title~content=t713597238~db=all,Sin informacion,No
Physica Scripta,0.53,Q3,75,527,648,http://www.iop.org/EJ/journal/PhysScr,0031-8949/1402-4896,A2
Journal of Applied Statistics,0.528,Q3,52,257,545,http://www.informaworld.com/smpp/title~content=t713428038~db=all,0266-4763/1360-0532,B
Entropy,0.527,Q3,61,1138,2095,https://www.mdpi.com/journal/entropy,1099-4300,A2
Journal of Nonlinear Science and Applications (discontinued),0.527,Q3,20,0,544,https://www.isr-publications.com/jnsa,Sin informacion,No
Journal of Parallel and Distributed Computing,0.525,Q3,81,214,449,http://www.elsevier.com/wps/find/journaldescription.cws_home/622895/description#description,0743-7315/1096-0848,A2
Formal Methods in System Design,0.516,Q3,50,23,78,http://www.springer.com/engineering/circuits+%26+systems/journal/10703,0925-9856/1572-8102,A2
Theory of Computing Systems,0.513,Q3,39,96,233,http://www.springer.com/computer+science/theoretical+computer+science/foundations+of+computations/journal/224,1432-4350/1433-0490,A2
Brazilian Journal of Probability and Statistics,0.504,Q3,14,42,115,https://www.scimagojr.com/journalsearch.php?q=19900192736&tip=sid&clean=0,0103-0752,B
Statistical Methods and Applications,0.504,Q3,25,64,107,https://www.springer.com/journal/10260,1613-981X/1618-2510,B
Journal of Inverse and Ill-Posed Problems,0.501,Q3,30,70,166,http://www.degruyter.de/journals/jiip/detailEn.cfm,Sin informacion,No
Journal of Lie Theory,0.501,Q3,24,54,141,http://www.emis.de/journals/JLT/,0949-5932,B
Annals of Mathematics and Artificial Intelligence,0.498,Q3,49,61,143,http://www.springer.com/computer+science/ai/journal/10472,1012-2443/1573-7470,A2
Quality and Quantity,0.498,Q3,52,201,583,http://www.springer.com/sociology/social+sciences%2C+general/journal/11135,0033-5177/1573-7845,A2
ZAMM Zeitschrift für Angewandte Mathematik und Mechanik,0.49700000000000005,Q3,46,121,325,https://onlinelibrary.wiley.com/journal/15214001,Sin informacion,No
Applied Mathematics and Mechanics (English Edition),0.496,Q3,39,79,366,https://www.springer.com/journal/10483,Sin informacion,No
Journal of Pseudo-Differential Operators and Applications,0.496,Q3,13,65,105,https://www.scimagojr.com/journalsearch.php?q=19700166502&tip=sid&clean=0,Sin informacion,No
Journal of Nonlinear Mathematical Physics,0.491,Q3,37,38,131,http://www.worldscinet.com/jnmp/jnmp.shtml,1402-9251/1776-0852,B
Journal of Experimental Algorithmics,0.49,Q3,33,26,45,http://www.jea.acm.org/,1084-6654,B
ACM Transactions on Applied Perception,0.489,Q3,45,22,65,https://dl.acm.org/journal/tap,1544-3558/1544-3965,A2
International Journal of Bio-Inspired Computation,0.489,Q3,35,41,126,https://www.scimagojr.com/journalsearch.php?q=21100203119&tip=sid&clean=0,Sin informacion,No
Algebra Universalis,0.486,Q3,26,55,208,http://www.springer.com/birkhauser/mathematics/journal/12,0002-5240/1420-8911,B
Journal of Statistical Mechanics: Theory and Experiment,0.486,Q3,69,354,1005,http://www.iop.org/EJ/journal/JSTAT,Sin informacion,No
SOCAR Proceedings,0.48200000000000004,Q3,8,29,110,https://www.scimagojr.com/journalsearch.php?q=5800184384&tip=sid&clean=0,2218-6867/2218-8622,A2
Information Processing Letters,0.48100000000000004,Q3,73,111,416,http://www.elsevier.com/wps/find/journaldescription.cws_home/505612/description#description,0020-0190/1872-6119,A2
Inverse Problems in Science and Engineering,0.48100000000000004,Q3,30,104,256,http://www.informaworld.com/smpp/title~content=t713643452~db=all,1741-5977/1741-5985,A1
