Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Yuhang Xuebao/Journal of Astronautics,0.330 ,Q4,30,162,526,https://www.scimagojr.com/journalsearch.php?q=13628&tip=sid&clean=0,Sin informacion,No
Cosmic Research,0.326 ,Q4,20,47,160,http://www.springer.com/astronomy/practical+astronomy/journal/10604,0010-9525/1608-3075,B
Solar System Research,0.312 ,Q4,25,67,195,http://www.springer.com/astronomy/practical+astronomy/journal/11208,0038-0946/1608-3423,B
Petroleum Chemistry,0.307 ,Q4,21,182,506,http://www.springer.com/chemistry/journal/11494,0965-5441/1555-6239,B
Open Astronomy,0.303 ,Q4,25,19,85,https://www.degruyter.com/view/j/astro,2543-6376,B
Journal of Animal Behaviour and Biometeorology,0.301 ,Q4,6,27,60,https://www.jabbnet.com/,2318-1265,B
Journal of Industrial Pollution Control (discontinued),0.295 ,Q4,12,0,176,http://www.icontrolpollution.com/,Sin informacion,No
Hongwai yu Jiguang Gongcheng/Infrared and Laser Engineering,0.293 ,Q4,28,547,1727,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1468,Sin informacion,No
"Neues Jahrbuch fur Mineralogie, Abhandlungen",0.293 ,Q4,28,9,60,http://www.schweizerbart.de/journals/njma,Sin informacion,No
International Journal of Global Warming,0.274 ,Q4,18,70,217,https://www.scimagojr.com/journalsearch.php?q=21100205986&tip=sid&clean=0,1758-2083/1758-2091,B
Asian Journal of Atmospheric Environment,0.272 ,Q4,15,25,83,http://asianjae.org/about.html?ckattempt=1,1976-6912/2287-1160,B
Journal of Agrometeorology,0.269 ,Q4,10,69,307,https://www.scimagojr.com/journalsearch.php?q=19700182111&tip=sid&clean=0,0972-1665,B
Revista Brasileira de Meteorologia,0.265 ,Q4,10,45,169,https://www.scimagojr.com/journalsearch.php?q=21100242263&tip=sid&clean=0,0102-7786/1982-4351,C
Gems and Gemology,0.258 ,Q4,20,8,236,https://www.scimagojr.com/journalsearch.php?q=19213&tip=sid&clean=0,0016-626X/2376-4473,C
Chinese Journal of Agrometeorology,0.255 ,Q4,7,72,232,http://zgnyqx.ieda.org.cn/EN/column/column107.shtml,1000-6362,B
International Journal of Health Governance,0.251 ,Q4,21,30,91,http://emeraldgrouppublishing.com/products/journals/journals.htm?id=ijhg,2059-4631/2059-464X,B
Contributions to Geophysics and Geodesy,0.247 ,Q4,17,27,51,https://journal.geo.sav.sk/cgg/index,1335-2806,C
Bulletin of the Geological Society of Finland,0.244 ,Q4,22,8,32,http://www.geologinenseura.fi/bulletin/index.html,0367-5211/1799-4632,B
First Break,0.244 ,Q4,38,86,191,http://www3.interscience.wiley.com/journal/119485133/home,0263-5046/1365-2397,C
Estudios Geologicos,0.243 ,Q4,25,36,43,http://estudiosgeol.revistas.csic.es/index.php/estudiosgeol,Sin informacion,No
International Journal of Environmental Studies,0.242 ,Q4,29,92,237,https://www.tandfonline.com/loi/genv20,0020-7233/1029-0400,B
Northwestern Geology,0.242 ,Q4,19,49,267,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1138,1009-6248,C
Przeglad Geologiczny,0.242 ,Q4,29,124,358,http://www.pgi.gov.pl/index.php?option=displaypage&Itemid=319&op=page&SubMenu=,0033-2151,C
Polarforschung,0.232 ,Q4,23,0,48,https://www.scimagojr.com/journalsearch.php?q=23317&tip=sid&clean=0,0032-2490/2190-1090,C
Volumina Jurassica,0.232 ,Q4,2,0,7,https://www.scimagojr.com/journalsearch.php?q=21100898997&tip=sid&clean=0,1896-7876,C
"Journal of Aeronautics, Astronautics and Aviation, Series A",0.231 ,Q4,9,33,94,https://www.scimagojr.com/journalsearch.php?q=19400158806&tip=sid&clean=0,Sin informacion,No
Georesursy,0.229 ,Q4,4,57,135,https://www.scimagojr.com/journalsearch.php?q=21100907383&tip=sid&clean=0,1608-5043/1608-5078,C
Russian Journal of Marine Biology,0.226 ,Q4,21,65,224,http://www.springer.com/life+sciences/ecology/journal/11179,1063-0740/1573-9457,C
Thalassas,0.221 ,Q4,11,83,80,https://www.scimagojr.com/journalsearch.php?q=19400157218&tip=sid&clean=0,0212-5919/2366-1674,C
Journal of Northwest Atlantic Fishery Science,0.219 ,Q4,38,3,7,http://journal.nafo.int/,0250-6408,B
Geologia USP - Serie Cientifica,0.218 ,Q4,20,27,109,http://geologiausp.igc.usp.br/geologiausp/sc1/lv.php,Sin informacion,No
International Journal of Climate Change: Impacts and Responses,0.214 ,Q4,2,8,28,https://on-climate.com/journal,Sin informacion,No
Revue de Paleobiologie,0.211 ,Q4,30,0,47,https://www.scimagojr.com/journalsearch.php?q=26262&tip=sid&clean=0,0253-6730,C
Transactions of the Japan Society for Aeronautical and Space Sciences,0.211 ,Q4,19,37,136,https://www.scimagojr.com/journalsearch.php?q=29565&tip=sid&clean=0,0549-3811,C
Journal of the Indian Ocean Region,0.209 ,Q4,10,27,68,https://www.scimagojr.com/journalsearch.php?q=19900191954&tip=sid&clean=0,1948-0881/1948-108X,B
Mausam,0.209 ,Q4,10,55,200,https://metnet.imd.gov.in/imdmausam/,0252-9416,C
FOG - Freiberg Online Geoscience,0.208 ,Q4,6,2,35,https://www.scimagojr.com/journalsearch.php?q=12400154714&tip=sid&clean=0,Sin informacion,No
Indian Journal of Geo-Marine Sciences,0.203 ,Q4,33,253,703,http://nopr.niscair.res.in/handle/123456789/3,Sin informacion,No
Biuletyn - Panstwowego Instytutu Geologicznego,0.201 ,Q4,19,8,125,https://www.scimagojr.com/journalsearch.php?q=56072&tip=sid&clean=0,Sin informacion,No
Revista Brasileira de Geofisica,0.201 ,Q4,17,38,102,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-261X&lng=en&nrm=iso,0102-261X,C
Boletin Geoologico y Minero,0.198 ,Q4,19,35,130,http://www.igme.es/boletin/,0366-0176,C
Fundamentalnaya i Prikladnaya Gidrofizika,0.198 ,Q4,3,45,75,http://hydrophysics.info/?lang=en,2073-6673,B
Kinematics and Physics of Celestial Bodies,0.198 ,Q4,9,26,96,https://www.scimagojr.com/journalsearch.php?q=19700173017&tip=sid&clean=0,0884-5913/1934-8401,C
Revista do Instituto Geologico,0.196 ,Q4,3,11,34,https://revistaig.emnuvens.com.br/rig,0100-929X/2176-1892,C
Journal of Economic Geology,0.194 ,Q4,2,16,29,https://www.scimagojr.com/journalsearch.php?q=21100890620&tip=sid&clean=0,2008-7306/2423-5865,C
Mineral Deposits,0.194 ,Q4,2,85,36,https://www.scimagojr.com/journalsearch.php?q=31350&tip=sid&clean=0,0258-7106,C
Mercian Geologist,0.193 ,Q4,8,13,35,https://www.scimagojr.com/journalsearch.php?q=25016&tip=sid&clean=0,0025-990X,C
International Journal of Geophysics,0.192 ,Q4,18,17,33,https://www.hindawi.com/journals/ijge/,1687-885X/1687-8868,B
Journal of Tropical Meteorology,0.191 ,Q4,9,0,47,https://www.scimagojr.com/journalsearch.php?q=19900193558&tip=sid&clean=0,1004-4965,C
Transactions of Nanjing University of Aeronautics and Astronautics,0.191 ,Q4,13,101,286,https://www.scimagojr.com/journalsearch.php?q=145727&tip=sid&clean=0,1005-1120,C
World of Metallurgy - ERZMETALL,0.191 ,Q4,11,40,106,http://www.gdmb.de/world-of-metallurgy.php,Sin informacion,No
Artificial Satellites,0.189 ,Q4,9,7,35,https://www.scimagojr.com/journalsearch.php?q=19400157248&tip=sid&clean=0,0208-841X/2083-6104,C
Geoingegneria Ambientale e Mineraria,0.189 ,Q4,7,9,140,https://www.scimagojr.com/journalsearch.php?q=21100206286&tip=sid&clean=0,1121-9041,C
Haiyang Xuebao,0.189 ,Q4,4,145,405,http://english.hyxb.org.cn/EN/volume/current.shtml,0253-4193,B
Geogaceta,0.187 ,Q4,2,45,151,http://www.geogaceta.es/GEOGACETA/Presentacion%20Geogaceta.htm,0213-683X/2173-6545,C
Rocky Mountain Geology,0.187 ,Q4,9,2,14,http://rmg.geoscienceworld.org/,1555-7332/1555-7340,C
Trabajos de Geologia,0.187 ,Q4,4,0,18,https://www.scimagojr.com/journalsearch.php?q=21100371996&tip=sid&clean=0,Sin informacion,No
IWMI Research Report,0.184 ,Q4,6,1,5,https://www.iwmi.cgiar.org/publications/iwmi-research-reports/,1026-0862,B
Journal of the Palaeontological Society of India,0.184 ,Q4,11,0,49,http://palaeontologicalsociety.in/publication.php,0552-9360,C
Journal of Marine Science and Technology,0.183 ,Q4,26,30,289,http://jmst.ntou.edu.tw/,Sin informacion,No
"Revista del Museo Argentino de Ciencias Naturales, Nueva Serie",0.183 ,Q4,13,18,68,http://revista.macn.gob.ar/ojs/index.php/RevMus/,Sin informacion,No
World Journal of Engineering,0.182 ,Q4,6,88,225,https://www.emerald.com/insight/publication/issn/1708-5284,1708-5284,B
Quaternary and Environmental Geosciences,0.180 ,Q4,2,3,18,https://revistas.ufpr.br/abequa,2176-6142,C
Anuario do Instituto de Geociencias,0.178 ,Q4,11,193,298,http://www.anuario.igeo.ufrj.br/ingles/issues.htm,0101-9759/1982-3908,B
Geomorfologiya,0.178 ,Q4,9,17,109,https://www.scimagojr.com/journalsearch.php?q=22640&tip=sid&clean=0,0435-4281,C
Bulletin of the Mineral Research and Exploration,0.175 ,Q4,7,41,85,https://dergi.mta.gov.tr/index.php,0026-4563,C
Review of Regional Studies,0.175 ,Q4,19,18,48,https://www.scimagojr.com/journalsearch.php?q=15159&tip=sid&clean=0,0048-749X/1553-0892,B
Scientia Geologica Sinica,0.174 ,Q4,40,79,264,http://dzkx-e.periodicals.net.cn/default.html,0563-5020,C
Geofisica International,0.173 ,Q4,26,6,59,http://www.geofisica.unam.mx/divulgacion/geofinternacional/index.html,Sin informacion,No
Geologie de la France,0.173 ,Q4,6,3,12,http://geolfrance.brgm.fr/,0246-0874,C
Economic and Environmental Geology,0.170 ,Q4,2,26,94,http://www.kseeg.org/main.html,1225-7281/2288-7962,B
Oilfield Review,0.170 ,Q4,34,0,9,http://www.slb.com/resources/publications/oilfield_review.aspx,Sin informacion,No
Idojaras,0.168 ,Q4,15,27,69,https://www.met.hu/ismeret-tar/kiadvanyok/idojaras/,0324-6329,C
Acta Seismologica Sinica,0.165 ,Q4,25,65,246,http://www.springer.com/earth+sciences+and+geography/geophysics/journal/11589,0253-3782,C
Journal of Integrated Coastal Zone Management,0.165 ,Q4,6,12,43,http://www.aprh.pt/ojs/index.php/rgci,1646-8872,C
Memoirs of the Queensland Museum,0.164 ,Q4,34,6,27,https://www.scimagojr.com/journalsearch.php?q=31273&tip=sid&clean=0,0079-8835,C
Hidrobiologica,0.163 ,Q4,14,6,121,https://www.scimagojr.com/journalsearch.php?q=21100220106&tip=sid&clean=0,0188-8897/2448-7333,C
Mining Informational and Analytical Bulletin,0.162 ,Q4,3,253,308,https://www.scimagojr.com/journalsearch.php?q=21100898936&tip=sid&clean=0,0236-1493,B
Geoadria / glasilo Hrvatskog geografskog drustva--ogranak Zadar i Odsjeka za geografiju Filozofskog fakulteta u Zadru,0.161 ,Q4,2,3,19,https://www.scimagojr.com/journalsearch.php?q=34418&tip=sid&clean=0,Sin informacion,No
Dams and Reservoirs,0.159 ,Q4,3,24,72,https://www.icevirtuallibrary.com/toc/jdare/current,1368-1494/1756-8404,C
Hrvatski Geografski Glasnik,0.159 ,Q4,8,8,36,http://hrcak.srce.hr/hrvatski-geografski-glasnik?lang=en,1331-5854,C
Bulletin of the Iraq Natural History Museum,0.158 ,Q4,2,19,34,http://jnhm.uobaghdad.edu.iq/index.php/BINHM,1017-8678/2311-9799,C
Hrvatski Meteoroloski Casopis/Croatian Meteorological Journal,0.158 ,Q4,9,0,11,http://www.meteohmd.hr/en/journal.htm,Sin informacion,No
American Journal of Engineering and Applied Sciences (discontinued),0.157 ,Q4,9,0,121,https://www.scimagojr.com/journalsearch.php?q=21100437958&tip=sid&clean=0,Sin informacion,No
Yerbilimleri/ Earth Sciences,0.157 ,Q4,13,9,52,http://www.yerbilimleri.hacettepe.edu.tr/english.shtml,Sin informacion,No
Cuadernos de Geografia,0.155 ,Q4,1,26,26,https://www.scimagojr.com/journalsearch.php?q=21100897722&tip=sid&clean=0,Sin informacion,No
Geotechnical Engineering,0.155 ,Q4,19,64,202,http://www.seags.ait.ac.th/,0046-5828,C
Kuangwu Yanshi,0.155 ,Q4,21,38,135,https://www.scimagojr.com/journalsearch.php?q=57240&tip=sid&clean=0,1001-6872,C
Irish Journal of Earth Sciences,0.154 ,Q4,10,5,16,https://www.scimagojr.com/journalsearch.php?q=23207&tip=sid&clean=0,0790-1763/2009-0064,C
Foldtani Kozlony,0.153 ,Q4,9,20,67,https://www.scimagojr.com/journalsearch.php?q=19200156916&tip=sid&clean=0,0015-542X,C
Annales de Geographie,0.151 ,Q4,15,22,82,http://www.armand-colin.com/revue/5/annales-de-geographie.php,0003-4010,C
Soils and Rocks,0.151 ,Q4,10,0,61,http://www.soilsandrocks.com.br/,1980-9743,C
Vestnik of Saint Petersburg University. Earth Sciences,0.151 ,Q4,2,35,54,https://escjournal.spbu.ru/,Sin informacion,No
Wutan Huatan Jisuan Jishu,0.150 ,Q4,7,94,360,http://wtht.chinajournal.net.cn/WKD/WebPublication/index.aspx?mid=wtht,1001-1749,C
International Journal of Geoinformatics,0.149 ,Q4,9,34,106,http://journals.sfu.ca/ijg/index.php/journal/index,1686-6576,C
Irish Geography,0.146 ,Q4,19,5,32,http://www.informaworld.com/smpp/title~content=t791546828~db=all,0075-0778/1939-4055,C
Journal of Chinese Soil and Water Conservation,0.146 ,Q4,5,12,66,http://cswcs.org.tw/EnglishWeb/Journal.aspx,0255-6073,C
