Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Synapse,1.014 ,Q3,103,37,138,http://www3.interscience.wiley.com/journal/36341/home,0887-4476/1098-2396,B
Results in Immunology,0.927 ,Q3,14,0,6,https://www.scimagojr.com/journalsearch.php?q=19900193722&tip=sid&clean=0,Sin informacion,No
Molecular Membrane Biology,0.886 ,Q3,74,7,18,http://informahealthcare.com/loi/mbc,0968-7688/1464-5203,B
American Journal of Clinical and Experimental Immunology,0.866 ,Q3,4,0,4,https://www.scimagojr.com/journalsearch.php?q=21100854188&tip=sid&clean=0,Sin informacion,No
"Immunity, inflammation and disease",0.865 ,Q3,17,33,134,https://onlinelibrary.wiley.com/journal/20504527,Sin informacion,No
Human gene therapy. Clinical development,0.863 ,Q3,19,25,83,https://www.scimagojr.com/journalsearch.php?q=21100265033&tip=sid&clean=0,Sin informacion,No
Genes and Immunity,0.862 ,Q3,96,78,88,http://www.nature.com/gene/index.html,1466-4879/1476-5470,A1
Neuroscience Letters,0.854 ,Q3,162,700,2168,http://www.elsevier.com/wps/find/journaldescription.cws_home/506081/description#description,0304-3940/1872-7972,B
American Journal of Stem Cells (discontinued),0.850 ,Q3,18,0,13,https://www.scimagojr.com/journalsearch.php?q=21100332454&tip=sid&clean=0,Sin informacion,No
Molecular Reproduction and Development,0.845 ,Q3,100,171,362,http://www3.interscience.wiley.com/journal/117927940/grouphome/home.html,1040-452X/1098-2795,A2
Clinical and Molecular Allergy,0.832 ,Q3,31,11,63,http://www.clinicalmolecularallergy.com/,1476-7961,B
International Journal of Developmental Neuroscience,0.832 ,Q3,84,96,265,http://www.elsevier.com/wps/find/journaldescription.cws_home/712/description#description,0736-5748/1873-474X,B
Journal of Investigational Allergology and Clinical Immunology,0.811 ,Q3,58,116,308,http://www.jiaci.org/,1018-9068/1698-0808,A1
Autoimmunity,0.799 ,Q3,69,35,174,http://informahealthcare.com/loi/aut,0891-6934/1607-842X,B
Cancer Management and Research,0.797 ,Q3,35,945,751,https://www.dovepress.com/cancer-management-and-research-journal,Sin informacion,No
Pharmacogenetics and Genomics,0.774 ,Q3,139,30,176,http://journals.lww.com/jpharmacogenetics/pages/default.aspx,1744-6872/1744-6880,A2
Experimental Brain Research,0.773 ,Q3,164,295,957,http://www.springer.com/biomed/neuroscience/journal/221,0014-4819/1432-1106,B
Current Genomics,0.766 ,Q3,61,60,164,https://benthamscience.com/journals/current-genomics/,1389-2029/1875-5488,B
Immunologic Research,0.756 ,Q3,83,59,353,http://www.springer.com/medicine/internal/journal/12026,0257-277X/1559-0755,B
Brazilian Journal of Microbiology,0.753 ,Q3,56,162,429,https://www.springer.com/journal/42770,1517-8382/1678-4405,B
Cancer Informatics,0.748 ,Q3,28,33,94,https://journals.sagepub.com/home/cix,1176-9351,B
BMC Medical Genetics,0.745 ,Q3,65,204,467,http://www.biomedcentral.com/bmcmedgenet/,1471-2350,B
Neural Regeneration Research,0.743 ,Q3,30,353,1193,http://eng.med.wanfangdata.com.cn/JournalDetail.aspx?qid=zgsjzsyj-e,1673-5374/1876-7958,A2
Genetics and Molecular Biology,0.741 ,Q3,51,89,269,https://www.gmb.org.br/,1415-4757/1678-4685,B
"Religion, Brain and Behavior",0.738 ,Q3,17,66,156,https://www.scimagojr.com/journalsearch.php?q=21100244224&tip=sid&clean=0,Sin informacion,No
Stem Cell Investigation,0.738 ,Q3,13,34,214,http://sci.amegroups.com/,2306-9759/2313-0792,B
Virus Evolution,0.737 ,Q3,1,0,2,https://academic.oup.com/ve,Sin informacion,No
Current Stem Cell Reports,0.733 ,Q3,12,18,121,https://www.springer.com/life+sciences/cell+biology/journal/40778,2198-7866,B
NeuroSignals,0.732 ,Q3,65,17,21,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=224154,1424-862X/1424-8638,B
Journal of Virological Methods,0.730 ,Q3,96,178,649,http://www.elsevier.com/wps/find/journaldescription.cws_home/506080/description#description,0166-0934/1879-0984,B
Probiotics and Antimicrobial Proteins,0.718 ,Q3,23,223,163,https://link.springer.com/journal/12602,1867-1306/1867-1314,A2
Microbiology and Immunology,0.715 ,Q3,68,59,247,http://www.wiley.com/bw/journal.asp?ref=0385-5600,0385-5600/1348-0421,B
Climate,0.706 ,Q3,17,143,252,https://www.mdpi.com/journal/climate,2225-1154,B
Critical Reviews in Immunology,0.706 ,Q3,73,25,74,http://www.begellhouse.com/journals/2ff21abf44b19838.html,1040-8401/2162-6472,B
Human Genome Variation,0.692 ,Q3,10,53,127,https://www.scimagojr.com/journalsearch.php?q=21100916535&tip=sid&clean=0,2054-345X,B
Oncology Letters,0.673 ,Q3,44,1496,5715,https://www.scimagojr.com/journalsearch.php?q=19700176021&tip=sid&clean=0,1792-1074/1792-1082,B
Clinical Diabetes and Endocrinology,0.666 ,Q3,6,0,8,https://clindiabetesendo.biomedcentral.com/,2055-8260,B
Viral Immunology,0.665 ,Q3,59,72,277,http://www.liebertpub.com/products/product.aspx?pid=57,0882-8245/1557-8976,B
Clinical obesity,0.661 ,Q3,9,17,79,https://onlinelibrary.wiley.com/journal/17588111,1758-8103/1758-8111,B
Hepatitis Research and Treatment,0.659 ,Q3,4,0,3,https://www.hindawi.com/journals/heprt/,Sin informacion,No
Endocrine Journal,0.658 ,Q3,69,127,406,http://www.jstage.jst.go.jp/browse/endocrj/,0918-8959/1348-4540,B
Human Heredity,0.656 ,Q3,61,22,46,http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=224250,0001-5652/1423-0062,B
International Journal of Developmental Biology,0.656 ,Q3,98,64,220,http://www.ijdb.ehu.es/web/,0214-6282/1696-3547,B
Frontline Gastroenterology,0.655 ,Q3,10,138,139,https://fg.bmj.com/,2041-4137/2041-4145,B
Gastroenterology Research and Practice,0.655 ,Q3,42,195,707,http://www.hindawi.com/journals/grp/,1687-6121/1687-630X,B
Proteome Science,0.654 ,Q3,43,8,59,http://www.proteomesci.com/,1477-5956,A2
Results and Problems in Cell Differentiation,0.650 ,Q3,44,43,151,http://www.springer.com/series/400,Sin informacion,No
International Journal of Rheumatic Diseases,0.649 ,Q3,38,330,801,http://www.wiley.com/bw/journal.asp?ref=1756-1841,1756-1841/1756-185X,B
International Journal of Microbiology,0.644 ,Q3,36,48,142,https://www.hindawi.com/journals/ijmicro/,1687-918X/1687-9198,B
Brain Injury,0.636 ,Q3,100,196,614,http://informahealthcare.com/loi/bij,0269-9052/1362-301X,B
Journal of Microbiological Methods,0.636 ,Q3,127,222,730,https://www.journals.elsevier.com/journal-of-microbiological-methods,0167-7012/1872-8359,B
Molecular and Cellular Probes,0.635 ,Q3,66,84,193,http://www.elsevier.com/wps/find/journaldescription.cws_home/622918/description#description,0890-8508/1096-1194,B
Systematic Parasitology,0.632 ,Q3,46,62,223,http://www.springer.com/life+sciences/animal+sciences/journal/11230,0165-5752/1573-5192,B
Journal of Epidemiology and Global Health,0.631 ,Q3,19,50,142,https://www.atlantis-press.com/journals/jegh,2210-6006/2210-6014,A2
