Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Swarm Intelligence,0.881 ,Q2,34,15,43,http://www.springer.com/computer/ai/journal/11721,1935-3812/1935-3820,A2
Journal of Educational Computing Research,0.877 ,Q2,57,99,135,https://journals.sagepub.com/home/jec,0735-6331/1541-4140,A1
Dianli Xitong Zidonghua/Automation of Electric Power Systems,0.870 ,Q2,80,576,1793,http://www.aeps-info.com/aeps/home,Sin informacion,No
Smart Structures and Systems,0.867 ,Q2,42,83,378,https://www.scimagojr.com/journalsearch.php?q=5300152722&tip=sid&clean=0,1738-1584/1738-1991,A1
Brain Informatics,0.850 ,Q2,15,8,65,https://braininformatics.springeropen.com/,2198-4018/2198-4026,A2
Networks and Heterogeneous Media,0.847 ,Q2,28,33,97,http://aimsciences.org/journals/NHM/index.htm,1556-1801/1556-181X,A1
Biomedical Signal Processing and Control,0.844 ,Q2,60,284,613,http://www.elsevier.com/wps/find/journaldescription.cws_home/706718/description#description,1746-8094/1746-8108,A2
Computers in Biology and Medicine,0.834 ,Q2,83,351,865,http://www.elsevier.com/wps/find/journaldescription.cws_home/351/description#description,0010-4825/1879-0534,A1
AI Magazine,0.821 ,Q2,70,39,161,http://www.aaai.org/Magazine/magazine.php,0738-4602,A2
IEEE Intelligent Transportation Systems Magazine,0.820 ,Q2,36,76,197,https://www.scimagojr.com/journalsearch.php?q=18300156720&tip=sid&clean=0,1939-1390/1941-1197,A1
International Journal of Systems Science,0.791 ,Q2,66,213,906,https://www.tandfonline.com/loi/tsys20,Sin informacion,No
Advances in Data Analysis and Classification,0.790 ,Q2,25,60,107,http://www.springer.com/statistics/statistical+theory+and+methods/journal/11634,1862-5347/1862-5355,A2
Minds and Machines,0.788 ,Q2,36,32,95,https://www.springer.com/journal/11023,0924-6495/1572-8641,A1
Journal of Biomedical Discovery and Collaboration,0.786 ,Q2,16,0,1,http://www.uic.edu/htbin/cgiwrap/bin/ojs/index.php/jbdc/,Sin informacion,No
Journal of Computer-Aided Molecular Design,0.786 ,Q2,95,88,280,http://www.springer.com/chemistry/physical+chemistry/journal/10822,Sin informacion,No
Ethics and Information Technology,0.783 ,Q2,47,39,94,http://www.springer.com/computer+science/swe/journal/10676,1388-1957/1572-8439,A1
International Journal for Numerical Methods in Fluids,0.780 ,Q2,105,100,324,http://www3.interscience.wiley.com/journal/2861/home,0271-2091/1097-0363,A1
4OR,0.779 ,Q2,38,30,63,http://www.springer.com/business+%26+management/operations+research/journal/10288,1614-2411/1619-4500,A2
Theory and Decision,0.779 ,Q2,35,56,182,http://www.springer.com/economics/economic+theory/journal/11238,0040-5833/1573-7187,A1
Advances and Applications in Bioinformatics and Chemistry,0.773 ,Q2,13,3,9,https://www.scimagojr.com/journalsearch.php?q=19900192734&tip=sid&clean=0,1178-6949,A1
Mathematical Methods of Operations Research,0.769 ,Q2,44,45,127,http://www.springer.com/mathematics/journal/186,1432-2994/1432-5217,A2
ACM Transactions on Software Engineering and Methodology,0.758 ,Q2,74,28,56,https://dl.acm.org/journal/tosem,1049-331X/1557-7392,A2
