Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Micro and Nano Systems Letters,0.35100000000000003,Q4,12,20,54,https://www.scimagojr.com/journalsearch.php?q=21100900147&tip=sid&clean=0,2213-9621,B
Journal of the Indian Academy of Wood Science,0.348,Q4,9,21,69,https://www.scimagojr.com/journalsearch.php?q=19700182259&tip=sid&clean=0,0972-172X/0976-8432,A2
Biomedical Physics and Engineering Express,0.317,Q4,12,222,438,https://iopscience.iop.org/journal/2057-1976,2057-1976,B
Bio-Medical Materials and Engineering,0.3,Q4,52,40,204,http://www.iospress.nl/loadtop/load.php?isbn=09592989,Sin informacion,No
Turczaninowia,0.29600000000000004,Q4,5,170,215,http://turczaninowia.asu.ru/,1560-7259/1560-7267,B
Russian Journal of Biomechanics,0.287,Q4,4,23,107,http://vestnik.pstu.ru/biomech/about/inf/?lang=eng,1812-5123/2410-065X,B
Drewno,0.276,Q4,11,25,96,http://drewno-wood.pl/,1644-3985,A2
Nano Biomedicine and Engineering,0.25,Q4,19,30,119,http://nanobe.org/,2150-5578,B
Journal of Hard Tissue Biology,0.249,Q4,12,52,181,https://www.scimagojr.com/journalsearch.php?q=19400157005&tip=sid&clean=0,1341-7649/1880-828X,B
Technology and Health Care,0.247,Q4,42,103,488,http://www.iospress.nl/loadtop/load.php?isbn=09287329,0928-7329/1878-7401,B
Current Nanoscience,0.24600000000000002,Q4,40,72,242,https://benthamscience.com/journals/current-nanomaterials/,1573-4137/1875-6786,A2
Optica Applicata,0.23199999999999998,Q4,26,44,169,http://www.if.pwr.wroc.pl/~optappl/about.php,0078-5466/1899-7015,C
Progress In Electromagnetics Research M,0.23199999999999998,Q4,29,216,641,http://www.jpier.org/PIERM/,1937-8726,C
Nonlinear Optics Quantum Optics,0.23,Q4,20,40,58,http://www.oldcitypublishing.com/NLOQO/NLOQO.html,1543-0537,B
Chalcogenide Letters,0.22699999999999998,Q4,27,60,205,https://www.scimagojr.com/journalsearch.php?q=19200156904&tip=sid&clean=0,1584-8663,B
Optoelectronics Letters,0.226,Q4,17,99,331,http://www.springer.com/physics/optics+%26+lasers/journal/11801,1673-1905/1993-5013,B
Advanced Biomedical Engineering,0.225,Q4,3,23,20,https://abe-journal.org/,2187-5219,B
Progress in Superconductivity and Cryogenics (PSAC),0.223,Q4,6,36,113,http://psac.kisac.org/,Sin informacion,No
International Journal of Nanoelectronics and Materials,0.222,Q4,10,47,122,https://ijneam.unimap.edu.my/,1985-5761/2232-1535,B
"Bioinspired, Biomimetic and Nanobiomaterials",0.215,Q4,11,7,90,https://www.icevirtuallibrary.com/toc/jbibn/current,Sin informacion,No
Journal of Imaging Science and Technology,0.214,Q4,41,66,171,http://scitation.aip.org/dbt/dbt.jsp?KEY=JIMTE6&Volume=LASTVOL&Issue=LASTISS,1062-3701/1943-3522,B
Journal of Optoelectronics and Advanced Materials,0.214,Q4,46,86,378,http://inoe.inoe.ro/JOAM/Journal.html,1454-4164/1841-7132,B
Journal of Structural Chemistry,0.21100000000000002,Q4,28,230,766,http://www.springer.com/chemistry/inorganic+chemistry/journal/10947,0022-4766/1573-8779,C
Science and Engineering of Composite Materials,0.209,Q4,18,28,231,https://www.degruyter.com/view/j/secm,0334-181X/0792-1233,C
Radiophysics and Quantum Electronics,0.20800000000000002,Q4,23,76,493,http://www.springer.com/astronomy/journal/11141,0033-8443/1573-9120,B
Russian Microelectronics,0.20800000000000002,Q4,16,76,255,http://www.springer.com/engineering/electronics/journal/11180,1063-7397/1608-3415,B
Magnetic Resonance in Solids,0.207,Q4,7,37,37,https://www.scimagojr.com/journalsearch.php?q=21100223804&tip=sid&clean=0,2072-5981,C
Advanced Electromagnetics,0.20600000000000002,Q4,11,63,161,https://aemjournal.org/index.php/AEM,2119-0275,B
International Journal of Optics,0.20600000000000002,Q4,16,35,67,https://www.scimagojr.com/journalsearch.php?q=19700188445&tip=sid&clean=0,1687-9384/1687-9392,C
Ceramica,0.204,Q4,18,98,217,https://abceram.org.br/revista-ceramica/,0366-6913/1678-4553,C
Micro and Nanosystems,0.204,Q4,12,19,51,https://benthamscience.com/journals/micro-and-nanosystems/,1876-4029/1876-4037,B
Liquid Crystals Today,0.203,Q4,14,15,55,https://www.scimagojr.com/journalsearch.php?q=19700187636&tip=sid&clean=0,1358-314X/1464-5181,C
IEICE Transactions on Electronics,0.2,Q4,46,131,499,http://www.jstage.jst.go.jp/browse/transele/_vols,1745-1353,C
Journal of Magnetics,0.198,Q4,13,108,302,http://komag.org/journal/,1226-1750/2233-6656,B
Journal of Ovonic Research,0.19699999999999998,Q4,10,45,128,https://www.scimagojr.com/journalsearch.php?q=21100206004&tip=sid&clean=0,1584-9953/1842-2403,C
Surface Review and Letters,0.196,Q4,42,235,390,http://www.worldscinet.com/srl/srl.shtml,0218-625X/1793-6667,C
Taiyangneng Xuebao/Acta Energiae Solaris Sinica,0.195,Q4,26,471,1445,http://en.cnki.com.cn/Journal_en/C-C041-TYLX.htm,Sin informacion,No
Mineral Deposits,0.19399999999999998,Q4,2,85,36,https://www.scimagojr.com/journalsearch.php?q=31350&tip=sid&clean=0,0258-7106,C
Journal of Ceramic Processing Research,0.18899999999999997,Q4,29,111,485,http://jcpr.kbs-lab.co.kr/english/ch00.htm,1229-9162,C
Advances in OptoElectronics,0.188,Q4,21,2,21,http://www.hindawi.com/journals/aoe/,1687-563X/1687-5648,B
Yadian Yu Shengguang/Piezoelectrics and Acoustooptics,0.18600000000000003,Q4,12,167,663,https://www.scimagojr.com/journalsearch.php?q=19824&tip=sid&clean=0,Sin informacion,No
Kuei Suan Jen Hsueh Pao/ Journal of the Chinese Ceramic Society,0.185,Q4,26,248,767,http://www.jccsoc.com/EN/,Sin informacion,No
Transactions on Electrical and Electronic Materials,0.185,Q4,16,76,217,https://www.scimagojr.com/journalsearch.php?q=19900192567&tip=sid&clean=0,1229-7607/2092-7592,B
Fiber and Integrated Optics,0.18100000000000002,Q4,26,22,70,http://www.tandf.co.uk/journals/titles/01468030.asp,0146-8030/1096-4681,C
Journal of Textile Engineering,0.17800000000000002,Q4,14,11,79,https://www.jstage.jst.go.jp/browse/jte/,1346-8235,C
Clay Research,0.177,Q4,5,5,25,https://www.scimagojr.com/journalsearch.php?q=21100223146&tip=sid&clean=0,0255-7193/0974-4509,C
Fibre chemistry,0.177,Q4,17,111,304,http://www.springer.com/chemistry/polymer+science/journal/10692,0015-0541/1573-8493,B
"UPB Scientific Bulletin, Series B: Chemistry and Materials Science",0.177,Q4,18,96,217,https://www.scientificbulletin.upb.ro/SeriaB_-_Chimie_si_Stiinta_Materialelor.php,Sin informacion,No
High Temperature Material Processes,0.17600000000000002,Q4,18,13,76,https://www.begellhouse.com/journals/high-temperature-material-processes.html,1093-3611/1940-4360,A2
Journal of the Institute of Conservation,0.175,Q4,8,16,61,https://www.tandfonline.com/toc/rcon20/current,1945-5224/1945-5232,A2
"Optoelectronics and Advanced Materials, Rapid Communications",0.175,Q4,26,83,467,https://www.scimagojr.com/journalsearch.php?q=18800156712&tip=sid&clean=0,Sin informacion,No
International Journal of Nanoparticles,0.174,Q4,13,20,44,https://www.scimagojr.com/journalsearch.php?q=19400157268&tip=sid&clean=0,1753-2507/1753-2515,C
Jingangshi yu Moliao Moju Gongcheng/Diamond and Abrasives Engineering,0.174,Q4,10,108,307,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1078,Sin informacion,No
Fenmo Yejin Jishu/Powder Metallurgy Technology,0.17300000000000001,Q4,11,71,227,http://fmyjjs.periodicals.net.cn/default.html,Sin informacion,No
Nanoscience and Nanotechnology Letters (discontinued),0.17300000000000001,Q4,28,0,464,https://www.scimagojr.com/journalsearch.php?q=19700186885&tip=sid&clean=0,Sin informacion,No
Journal of Nanoelectronics and Optoelectronics (discontinued),0.171,Q4,21,0,338,https://www.scimagojr.com/journalsearch.php?q=18500166400&tip=sid&clean=0,Sin informacion,No
Journal of the Chinese Society of Corrosion and Protection,0.171,Q4,16,75,266,https://www.scimagojr.com/journalsearch.php?q=13326&tip=sid&clean=0,1005-4537,A2
Revista de Metalurgia,0.171,Q4,17,18,76,http://revistademetalurgia.revistas.csic.es/index.php/revistademetalurgia,0034-8570/1988-4222,B
Iranian Journal of Materials Science and Engineering,0.17,Q4,12,29,100,http://ijmse.iust.ac.ir/,1735-0808,A2
Journal of Semiconductor Technology and Science,0.17,Q4,17,79,323,https://www.scimagojr.com/journalsearch.php?q=17600155058&tip=sid&clean=0,1598-1657/2233-4866,B
Functional Materials,0.16899999999999998,Q4,12,124,335,https://www.scimagojr.com/journalsearch.php?q=19900193628&tip=sid&clean=0,1027-5495/2218-2993,C
Medziagotyra,0.16899999999999998,Q4,21,92,247,https://www.scimagojr.com/journalsearch.php?q=19300157032&tip=sid&clean=0,Sin informacion,No
Corrosion Science and Protection Technology,0.168,Q4,13,81,308,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=2319,1002-6495,B
Main Group Chemistry,0.168,Q4,20,47,86,https://www.scimagojr.com/journalsearch.php?q=18300156734&tip=sid&clean=0,1024-1221/1745-1167,C
Materials Evaluation,0.168,Q4,32,0,93,https://www.asnt.org/me,Sin informacion,No
Chinese Journal of Luminescence,0.16699999999999998,Q4,15,193,723,http://www.fgxb.org/,1000-7032,C
Funtai Oyobi Fummatsu Yakin/Journal of the Japan Society of Powder and Powder Metallurgy,0.16699999999999998,Q4,20,65,349,https://www.scimagojr.com/journalsearch.php?q=29665&tip=sid&clean=0,Sin informacion,No
Mechanics and Mechanical Engineering,0.166,Q4,10,40,180,https://content.sciendo.com/view/journals/mme/mme-overview.xml?language=en,1428-1511,B
Nami Jishu yu Jingmi Gongcheng/Nanotechnology and Precision Engineering,0.166,Q4,12,26,198,https://www.scimagojr.com/journalsearch.php?q=4500151512&tip=sid&clean=0,Sin informacion,No
Journal of Computational and Theoretical Nanoscience,0.165,Q4,47,846,2871,https://www.scimagojr.com/journalsearch.php?q=28136&tip=sid&clean=0,1546-1955/1546-1963,C
Cailiao Yanjiu Xuebao/Chinese Journal of Materials Research,0.16399999999999998,Q4,16,119,388,http://www.cjmr.org/EN/1005-3093/home.shtml,Sin informacion,No
Powder Metallurgy Progress,0.16399999999999998,Q4,1,0,14,https://www.scimagojr.com/journalsearch.php?q=21100873941&tip=sid&clean=0,1335-8987/1339-4533,C
International Journal of Medical Engineering and Informatics,0.163,Q4,11,21,74,https://www.inderscience.com/jhome.php?jcode=ijmei,1755-0653/1755-0661,C
International Journal of Nanomanufacturing,0.163,Q4,12,35,100,https://www.scimagojr.com/journalsearch.php?q=18300156723&tip=sid&clean=0,1746-9392/1746-9406,B
Nanoscience and Nanotechnology - Asia,0.163,Q4,9,58,69,https://benthamscience.com/journals/nanoscience-and-nanotechnology-asia/,Sin informacion,No
SAMPE Journal,0.163,Q4,26,0,87,http://www.sampe.org/store/subscribejournal.aspx,Sin informacion,No
Journal of Microelectronics and Electronic Packaging,0.162,Q4,17,10,43,http://www.imaps.org/jmep/index.htm,1551-4897/1555-8037,C
Korean Journal of Materials Research,0.162,Q4,10,114,353,http://www.koreascience.or.kr/browse/browseresult.jsp?no=290956&minyear=1991&maxyear=2008&subjcode=61&searchtype=JSB,1225-0562,C
International Journal of High Speed Electronics and Systems,0.161,Q4,22,13,83,http://www.worldscinet.com/ijhses/ijhses.shtml,0129-1564,C
Membrane Technology,0.161,Q4,21,9,38,http://www.elsevier.com/wps/find/journaldescription.cws_home/422864/description#description,0958-2118,B
Welding International,0.161,Q4,21,1,406,https://www.tandfonline.com/loi/twld20,0950-7116/1754-2138,C
Journal of the Korea Concrete Institute,0.159,Q4,2,55,65,https://www.scimagojr.com/journalsearch.php?q=21100874708&tip=sid&clean=0,1229-5515/2234-2842,C
Kung Cheng Je Wu Li Hsueh Pao/Journal of Engineering Thermophysics,0.159,Q4,22,426,1342,https://www.scimagojr.com/journalsearch.php?q=28516&tip=sid&clean=0,Sin informacion,No
International Journal of Electronics Letters,0.158,Q4,7,84,139,https://www.tandfonline.com/toc/tetl20/current,2168-1724/2168-1732,C
Journal of Surface Science and Technology,0.158,Q4,16,17,46,http://www.informaticsjournals.com/index.php/jsst,0970-1893/0976-9420,C
International Journal of Computational Materials Science and Surface Engineering,0.157,Q4,10,20,28,http://www.inderscience.com/browse/index.php?journalID=243,1753-3465/1753-3473,B
Zhongguo Biaomian Gongcheng/China Surface Engineering,0.156,Q4,3,54,15,http://www.csejournal.com/zgbmgcen/ch/index.aspx,Sin informacion,No
Glass Technology: European Journal of Glass Science and Technology Part A,0.154,Q4,17,8,53,https://www.scimagojr.com/journalsearch.php?q=11000153750&tip=sid&clean=0,Sin informacion,No
Isi Bilimi Ve Teknigi Dergisi/ Journal of Thermal Science and Technology,0.153,Q4,10,9,65,http://tibtd.org.tr/en/journal/,Sin informacion,No
Loisir et Societe,0.153,Q4,22,30,88,http://www.erudit.org/revue/ls/2001/v24/n2/index.html,0705-3436,B
Revista Materia,0.153,Q4,12,246,599,http://www.materia.coppe.ufrj.br/,1517-7076,C
WSEAS Transactions on Applied and Theoretical Mechanics,0.152,Q4,10,26,48,https://www.scimagojr.com/journalsearch.php?q=19700186869&tip=sid&clean=0,1991-8747/2224-3429,C
Zeitschrift fur Kristallographie - New Crystal Structures,0.152,Q4,35,529,1138,http://www.oldenbourg-wissenschaftsverlag.de/olb/de/1.c.335325.de,Sin informacion,No
Cailiao Daobao/Materials Review,0.151,Q4,7,262,2099,http://www.mr-int.net/EN/column/item15.shtml,Sin informacion,No
Indian Concrete Journal,0.151,Q4,20,83,241,https://www.icjonline.com/,Sin informacion,No
International Journal of Microstructure and Materials Properties,0.151,Q4,13,34,99,https://www.inderscience.com/jhome.php?jcode=ijmmp,1741-8410/1741-8429,C
Mongolian Journal of Chemistry,0.151,Q4,2,6,19,https://www.scimagojr.com/journalsearch.php?q=21100941615&tip=sid&clean=0,2226-6739/2414-0082,C
Active and Passive Electronic Components,0.15,Q4,21,10,51,https://www.hindawi.com/journals/apec/,0882-7516/1563-5031,C
Chiang Mai Journal of Science,0.14800000000000002,Q4,18,97,557,http://epg.science.cmu.ac.th/ejournal/,0125-2526,C
Chemical Engineering Progress,0.147,Q4,39,0,271,https://www.aiche.org/resources/publications/cep,Sin informacion,No
Optica Pura y Aplicada,0.147,Q4,10,32,117,https://www.scimagojr.com/journalsearch.php?q=9000153103&tip=sid&clean=0,0030-3917,B
Keikinzoku/Journal of Japan Institute of Light Metals,0.146,Q4,24,48,176,http://www.jstage.jst.go.jp/browse/jilm/,Sin informacion,No
Tribologia: Finnish Journal of Tribology,0.146,Q4,7,0,14,https://www.scimagojr.com/journalsearch.php?q=70859&tip=sid&clean=0,Sin informacion,No
Advanced Materials and Processes,0.145,Q4,34,33,100,https://www.scimagojr.com/journalsearch.php?q=19882&tip=sid&clean=0,Sin informacion,No
Contemporary Engineering Sciences (discontinued),0.145,Q4,13,0,109,http://www.m-hikari.com/ces/,Sin informacion,No
X-ray Structure Analysis Online,0.14400000000000002,Q4,7,24,71,https://www.scimagojr.com/journalsearch.php?q=19500157811&tip=sid&clean=0,Sin informacion,No
Vakuum in Forschung und Praxis,0.142,Q4,13,34,171,http://www3.interscience.wiley.com/journal/60500245/home,0947-076X/1522-2454,C
Emerging Materials Research,0.141,Q4,5,19,105,https://www.icevirtuallibrary.com/toc/jemmr/current,2046-0147/2046-0155,C
High Technology Letters,0.141,Q4,10,58,177,https://www.scimagojr.com/journalsearch.php?q=12667&tip=sid&clean=0,1006-6748,B
"Journal of Metals, Materials and Minerals",0.141,Q4,2,43,49,http://ojs.materialsconnex.com/index.php/jmmm,Sin informacion,No
Fenmo Yejin Cailiao Kexue yu Gongcheng/Materials Science and Engineering of Powder Metallurgy,0.14,Q4,10,82,339,https://www.scimagojr.com/journalsearch.php?q=17700156411&tip=sid&clean=0,Sin informacion,No
Informacije MIDEM,0.14,Q4,17,6,89,http://journal.midem-drustvo.si/,0352-9045,C
International Journal of Nano and Biomaterials,0.139,Q4,11,21,37,https://www.inderscience.com/jhome.php?jcode=ijnbm,1752-8933/1752-8941,C
Orbital,0.138,Q4,3,60,119,http://www.orbital.ufms.br/index.php/Chemistry,1984-6428,C
International Journal of Thin Film Science and Technology,0.136,Q4,2,21,13,https://www.scimagojr.com/journalsearch.php?q=21100900149&tip=sid&clean=0,2090-9519/2090-9527,C
Journal of Biobased Materials and Bioenergy (discontinued),0.136,Q4,30,0,130,https://www.scimagojr.com/journalsearch.php?q=18300156718&tip=sid&clean=0,Sin informacion,No
Leonardo Electronic Journal of Practices and Technologies (discontinued),0.136,Q4,14,0,30,http://lejpt.academicdirect.org/,Sin informacion,No
Journal of Biorheology,0.135,Q4,9,11,29,https://www.scimagojr.com/journalsearch.php?q=19400158812&tip=sid&clean=0,1867-0466/1867-0474,C
ZKG International (discontinued),0.135,Q4,15,0,127,https://www.scimagojr.com/journalsearch.php?q=18060&tip=sid&clean=0,Sin informacion,No
