Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Physics of the Dark Universe,1.459 ,Q2,29,80,161,https://www.sciencedirect.com/journal/physics-of-the-dark-universe,2212-6864,A1
Journal of Applied Meteorology and Climatology,1.367 ,Q2,128,156,503,https://www.ametsoc.org/ams/index.cfm/publications/journals/journal-of-applied-meteorology-and-climatology/,1558-8424/1558-8432,A2
Atmospheric Environment,1.305 ,Q2,226,726,2124,https://www.journals.elsevier.com/atmospheric-environment,1352-2310/1873-2844,A1
Advances in Atmospheric Sciences,1.293 ,Q2,62,103,366,https://www.springer.com/journal/376,0256-1530/1861-9533,A2
Boundary-Layer Meteorology,1.284 ,Q2,106,91,303,https://www.springer.com/journal/10546,Sin informacion,No
Revista Mexicana de Astronomia y Astrofisica,1.282 ,Q2,29,32,107,http://www.revistas.unam.mx/index.php/revmexaa,0185-1101,A1
Space Weather,1.166 ,Q2,46,112,368,https://agupubs.onlinelibrary.wiley.com/journal/15427390,1542-7390,A1
Atmospheric Science Letters,1.142 ,Q2,43,67,218,http://www3.interscience.wiley.com/journal/106562719/home,1530-261X,A2
Meteoritics and Planetary Science,1.117 ,Q2,92,187,446,https://onlinelibrary.wiley.com/journal/19455100,1086-9379/1945-5100,A2
Acta Astronomica,1.046 ,Q2,56,20,75,http://acta.astrouw.edu.pl/,0001-5237,A2
Egyptian Journal of Petroleum,1.044 ,Q2,28,61,303,https://www.journals.elsevier.com/egyptian-journal-of-petroleum/,1110-0621/2090-2468,A1
Journal of Meteorological Research,1.043 ,Q2,24,86,246,https://www.springer.com/journal/13351,2095-6037/2198-0934,A1
Urban Climate,1.042 ,Q2,33,91,185,https://www.journals.elsevier.com/urban-climate,2212-0955,A1
Advances in Climate Change Research,1.009 ,Q2,18,21,90,https://www.sciencedirect.com/journal/advances-in-climate-change-research,1674-9278,A1
npj Microgravity,0.994 ,Q2,15,30,86,https://www.nature.com/npjmgrav/,2373-8065,A1
Celestial Mechanics and Dynamical Astronomy,0.969 ,Q2,52,62,219,http://www.springer.com/astronomy/journal/10569,0923-2958/1572-9478,A1
Theoretical and Applied Climatology,0.966 ,Q2,87,597,1015,http://www.springer.com/springerwiennewyork/geosciences/journal/704,0177-798X/1434-4483,A2
"Tellus, Series B: Chemical and Physical Meteorology",0.960 ,Q2,100,17,72,http://www.wiley.com/bw/journal.asp?ref=0280-6509,Sin informacion,No
Geo-Spatial Information Science,0.943 ,Q2,21,31,93,https://www.tandfonline.com/loi/tgsi20,Sin informacion,No
Journal of Atmospheric and Oceanic Technology,0.940 ,Q2,118,151,485,https://www.ametsoc.org/ams/index.cfm/publications/journals/journal-of-atmospheric-and-oceanic-technology/,0739-0572/1520-0426,A1
ACS Earth and Space Chemistry,0.936 ,Q2,13,260,197,https://pubs.acs.org/journal/aesccq#,2472-3452,A1
Journal of Seismic Exploration,0.915 ,Q2,23,0,91,http://www.geophysical-press.com/,0963-0651,A2
Astronomy and Computing,0.912 ,Q2,20,38,136,https://www.journals.elsevier.com/astronomy-and-computing,2213-1337/2213-1345,A1
Solar Physics,0.887 ,Q2,114,175,576,http://www.springer.com/astronomy/astrophysics+and+astroparticles/journal/11207,0038-0938/1573-093X,A2
Geophysical Prospecting,0.882 ,Q2,73,176,371,http://www.wiley.com/bw/journal.asp?ref=0016-8025,0016-8025/1365-2478,A2
Molecular Astrophysics,0.879 ,Q2,8,6,37,https://www.journals.elsevier.com/molecular-astrophysics,2405-6758,A1
"Air Quality, Atmosphere and Health",0.850 ,Q2,40,139,305,https://www.springer.com/journal/11869,Sin informacion,No
Ground Water,0.846 ,Q2,88,142,335,https://ngwa.onlinelibrary.wiley.com/journal/17456584,0017-467X/1745-6584,A1
Journal of Space Weather and Space Climate,0.840 ,Q2,27,26,132,https://www.scimagojr.com/journalsearch.php?q=21100286958&tip=sid&clean=0,2115-7251,A2
Journal of the Astronautical Sciences,0.835 ,Q2,44,55,57,http://astronautical.org/publications/journal/,0021-9142/2195-0571,A1
Applied Geochemistry,0.833 ,Q2,123,224,631,https://www.sciencedirect.com/journal/applied-geochemistry,0883-2927,A2
Scientific Online Letters on the Atmosphere,0.826 ,Q2,29,34,134,http://wwwsoc.nii.ac.jp/msj/sola/,1349-6476,A2
Journal of High Energy Astrophysics,0.824 ,Q2,13,13,25,https://www.scimagojr.com/journalsearch.php?q=21100318420&tip=sid&clean=0,2214-4048/2214-4056,A2
Asia-Pacific Journal of Atmospheric Sciences,0.823 ,Q2,25,86,134,https://www.springer.com/journal/13143,Sin informacion,No
Computational Geosciences,0.823 ,Q2,60,118,238,http://www.springer.com/mathematics/journal/10596,1420-0597/1573-1499,A1
Ocean and Coastal Management,0.822 ,Q2,77,317,811,http://www.elsevier.com/wps/find/journaldescriptionhome/405889/description#description,0964-5691/1873-524X,A1
Atmospheric Pollution Research,0.818 ,Q2,36,210,371,https://www.scimagojr.com/journalsearch.php?q=21100254615&tip=sid&clean=0,1309-1042,A2
Ocean Dynamics,0.810 ,Q2,52,87,324,http://www.springer.com/earth+sciences+%26+geography/oceanography/journal/10236,1616-7228/1616-7341,A2
Canadian Mineralogist,0.806 ,Q2,74,85,208,http://canmin.geoscienceworld.org/,0008-4476/1499-1276,A2
Climate Research,0.804 ,Q2,101,47,188,https://www.int-res.com/journals/cr/cr-home/,0936-577X/1616-1572,A1
European Journal of Remote Sensing,0.804 ,Q2,25,108,190,https://www.tandfonline.com/loi/tejr20,2279-7254,A1
Petrology,0.801 ,Q2,35,35,96,http://www.springer.com/earth+sciences+%26+geography/mineralogy+%26+sedimentology/journal/11495,0869-5911/1556-2085,A2
Journal of Propulsion and Power,0.795 ,Q2,93,76,433,https://arc.aiaa.org/jpp/about,0748-4658/1533-3876,A1
"Weather, Climate, and Society",0.795 ,Q2,31,51,150,https://www.ametsoc.org/ams/index.cfm/publications/journals/weather-climate-and-society/,Sin informacion,No
Meteorological Applications,0.787 ,Q2,54,125,200,http://www3.interscience.wiley.com/journal/113388504/home,1350-4827/1469-8080,A2
Journal of Applied Geophysics,0.781 ,Q2,77,228,779,http://www.elsevier.com/wps/find/journaldescription.cws_home/503333/description#description,0926-9851/1879-1859,A2
Journal of Aerosol Science,0.777 ,Q2,105,106,414,http://www.elsevier.com/wps/find/journaldescription.cws_home/337/description#description,0021-8502/1879-1964,A1
Meteorologische Zeitschrift,0.773 ,Q2,54,35,149,http://www.schweizerbart.de/journals/metz,0941-2948/1610-1227,A2
Planetary and Space Science,0.773 ,Q2,87,137,474,http://www.elsevier.com/wps/find/journaldescription.cws_home/200/description#description,0032-0633,A2
Bulletin of the New Zealand Society for Earthquake Engineering,0.767 ,Q2,34,14,95,https://www.scimagojr.com/journalsearch.php?q=52416&tip=sid&clean=0,1174-9857,A1
European Journal of Mineralogy,0.763 ,Q2,67,75,297,http://www.schweizerbart.de/journals/ejm,0935-1221/1617-4011,A2
Atmosphere - Ocean,0.762 ,Q2,50,29,85,https://www.tandfonline.com/toc/tato20/current,Sin informacion,No
Advances in Astronomy,0.761 ,Q2,30,36,35,https://www.scimagojr.com/journalsearch.php?q=19700182336&tip=sid&clean=0,1687-7969/1687-7977,A2
Journal of Spacecraft and Rockets,0.757 ,Q2,75,166,401,http://www.aiaa.org/content.cfm?pageid=322&lupubid=25,0022-4650/1533-6794,A1
International Journal of Biometeorology,0.752 ,Q2,85,174,611,https://link.springer.com/journal/484,0020-7128/1432-1254,A2
International Journal of Modern Physics D,0.751 ,Q2,75,261,796,http://www.worldscinet.com/ijmpd/ijmpd.shtml,0218-2718/1793-6594,A2
"Journal of Energy Resources Technology, Transactions of the ASME",0.750 ,Q2,46,210,424,http://asmedl.aip.org/EnergyResources/,Sin informacion,No
Geochemical Transactions,0.747 ,Q2,40,4,27,https://geochemicaltransactions.biomedcentral.com/,1467-4866,A2
Environmental Geochemistry and Health,0.746 ,Q2,68,328,395,http://www.springer.com/environment/environmental+health+-+public+health/journal/10653,0269-4042/1573-2983,A1
Mineralogy and Petrology,0.745 ,Q2,52,52,227,http://www.springer.com/springerwiennewyork/geosciences/journal/710,0930-0708/1438-1168,A2
Journal of Arid Environments,0.740 ,Q2,108,128,477,http://www.elsevier.com/wps/find/journaldescription.cws_home/622855/description#description,0140-1963/1095-922X,A2
Atmospheric and Oceanic Science Letters,0.738 ,Q2,20,65,196,https://www.scimagojr.com/journalsearch.php?q=21100913138&tip=sid&clean=0,1674-2834/2376-6123,A2
Alcheringa,0.734 ,Q2,29,43,140,http://www.informaworld.com/smpp/title~content=t770322720~db=all,0311-5518/1752-0754,A2
Journal of Oceanography,0.734 ,Q2,68,41,168,http://www.springer.com/earth+sciences+%26+geography/oceanography/journal/10872,0916-8370/1573-868X,A2
Mineral Processing and Extractive Metallurgy Review,0.731 ,Q2,31,63,115,http://www.informaworld.com/smpp/title~content=t713644625~db=all,0882-7508/1547-7401,A1
Mineralogical Magazine,0.730 ,Q2,64,71,292,http://minmag.geoscienceworld.org/,0026-461X/1471-8022,A2
Journal of Paleolimnology,0.729 ,Q2,80,56,173,http://www.springer.com/earth+sciences+%26+geography/journal/10933,0921-2728/1573-0417,A2
Chemie der Erde,0.727 ,Q2,49,77,119,http://www.elsevier.com/wps/find/journaldescription.cws_home/701755/description#description,Sin informacion,No
Review of Palaeobotany and Palynology,0.727 ,Q2,71,97,332,https://www.journals.elsevier.com/review-of-palaeobotany-and-palynology,0034-6667/1879-0615,A2
International Journal of Mineral Processing,0.726 ,Q2,84,0,305,http://www.elsevier.com/wps/find/journaldescription.cws_home/503338/description#description,Sin informacion,No
Leading Edge,0.726 ,Q2,77,133,842,http://tle.geoscienceworld.org/,1070-485X,A2
Earthquake Engineering and Engineering Vibration,0.722 ,Q2,39,60,238,http://www.springer.com/earth+sciences+%26+geography/journal/11803,1671-3664/1993-503X,A1
Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering,0.718 ,Q2,74,359,1279,http://english.whrsm.cas.cn/sp/200909/t20090904_35796.html,Sin informacion,No
"Arctic, Antarctic, and Alpine Research",0.717 ,Q2,71,37,147,http://instaar.colorado.edu/AAAR/about_aaar/index.php,Sin informacion,No
Methods in Oceanography,0.716 ,Q2,16,0,30,https://www.scimagojr.com/journalsearch.php?q=21100218141&tip=sid&clean=0,Sin informacion,No
Remote Sensing Applications: Society and Environment,0.713 ,Q2,14,102,150,https://www.journals.elsevier.com/remote-sensing-applications-society-and-environment,Sin informacion,No
Marine and Freshwater Research,0.708 ,Q2,84,239,598,https://www.publish.csiro.au/MF,1323-1650/1448-6059,A2
Palaeontologia Electronica,0.707 ,Q2,35,79,113,http://palaeo-electronica.org/2009_3/index.html,1094-8074/1935-3952,A2
Canadian Geographer / Geographie Canadien,0.702 ,Q2,44,46,155,https://www.scimagojr.com/journalsearch.php?q=27613&tip=sid&clean=0,Sin informacion,No
Earth Systems and Environment,0.698 ,Q2,8,63,73,https://www.scimagojr.com/journalsearch.php?q=21100913557&tip=sid&clean=0,2509-9426/2509-9434,A2
PaleoAmerica,0.697 ,Q2,12,33,104,https://www.tandfonline.com/loi/ypal20,2055-5563/2055-5571,A2
Studia Geophysica et Geodaetica,0.692 ,Q2,38,32,117,http://www.springer.com/earth+sciences+%26+geography/geophysics/journal/11200,0039-3169/1573-1626,A2
Environmental Chemistry,0.688 ,Q2,59,69,196,https://www.publish.csiro.au/en,1448-2517/1449-8979,A2
Antarctic Science,0.687 ,Q2,65,42,129,http://journals.cambridge.org/action/displayJournal?jid=ANS,0954-1020/1365-2079,A2
Environmental Geotechnics,0.686 ,Q2,14,16,144,https://www.icevirtuallibrary.com/toc/jenge/current,2051-803X,A2
Ichnos,0.682 ,Q2,36,33,74,http://www.informaworld.com/smpp/title~content=t713643181~db=all,1042-0940/1563-5236,A2
Facies,0.681 ,Q2,53,42,88,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/10347,0172-9179/1612-4820,A2
Journal of Palaeogeography,0.680 ,Q2,17,33,68,https://journalofpalaeogeography.springeropen.com/,2095-3836,A1
Physics and Chemistry of Minerals,0.680 ,Q2,68,77,211,http://www.springer.com/earth+sciences+%26+geography/mineralogy+%26+sedimentology/journal/269,0342-1791/1432-2021,A2
Palaeoworld,0.679 ,Q2,28,71,154,http://www.painmanagementnursing.org/,1871-174X/1875-5887,A2
Geologica Carpathica,0.673 ,Q2,38,30,109,http://www.geologicacarpathica.com/,1335-0552/1336-8052,A2
Oceanologia,0.670 ,Q2,39,48,134,http://www.iopan.gda.pl/oceanologia/,Sin informacion,No
Natural Gas Geoscience,0.669 ,Q2,24,147,619,https://www.scimagojr.com/journalsearch.php?q=21100239235&tip=sid&clean=0,1672-1926,A2
Hydrology,0.666 ,Q2,12,82,174,https://www.mdpi.com/journal/hydrology,2306-5338,A2
Underground Space (China),0.666 ,Q2,9,27,59,https://www.scimagojr.com/journalsearch.php?q=21100939600&tip=sid&clean=0,Sin informacion,No
Journal of Sea Research,0.665 ,Q2,75,97,272,http://www.elsevier.com/wps/find/journaldescription.cws_home/600318/description#description,1385-1101/1873-1414,A2
Soil Research,0.665 ,Q2,80,95,253,https://www.scimagojr.com/journalsearch.php?q=19700201636&tip=sid&clean=0,1838-675X/1838-6768,A2
"Rivista, Italiana di Paleontologiia e Stratigrafia",0.664 ,Q2,35,41,81,http://users.unimi.it/rips/,Sin informacion,No
Space Policy,0.664 ,Q2,21,50,92,https://www.journals.elsevier.com/space-policy,0265-9646/1879-338X,A1
Journal of Arid Land,0.661 ,Q2,22,83,235,https://www.scimagojr.com/journalsearch.php?q=21100201941&tip=sid&clean=0,1674-6767/2194-7783,A2
Meitan Xuebao/Journal of the China Coal Society,0.660 ,Q2,52,465,1510,https://www.scimagojr.com/journalsearch.php?q=16430&tip=sid&clean=0,Sin informacion,No
Journal of Marine Science and Technology,0.656 ,Q2,43,145,194,https://www.springer.com/journal/773,1023-2796,B
Bulletin of Marine Science,0.655 ,Q2,72,47,193,http://www.rsmas.miami.edu/bms/,0007-4977/1553-6955,A2
Journal of Rare Earths,0.646 ,Q2,49,207,539,http://www.elsevier.com/wps/find/journaldescription.cws_home/707815/description#description,1002-0721,A2
Palaontologische Zeitschrift,0.645 ,Q2,26,74,148,http://www.springer.com/earth+sciences+and+geography/journal/12542,0031-0220/1867-6812,A2
GFF,0.639 ,Q2,37,31,98,http://www.informaworld.com/smpp/title~content=t902829199~db=all,1103-5897/2000-0863,A2
Palaeobiodiversity and Palaeoenvironments,0.637 ,Q2,31,53,118,https://www.scimagojr.com/journalsearch.php?q=19600157910&tip=sid&clean=0,1867-1594/1867-1608,A2
Yantu Lixue/Rock and Soil Mechanics,0.635 ,Q2,46,603,1854,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=2622,Sin informacion,No
Island Arc,0.633 ,Q2,57,44,119,http://www.wiley.com/bw/journal.asp?ref=1038-4871,1038-4871/1440-1738,A2
Russian Geology and Geophysics,0.633 ,Q2,38,95,401,http://www.elsevier.com/wps/find/journaldescription.cws_home/711552/description#description,1068-7971/1878-030X,A2
Journal of Marine Research,0.626 ,Q2,65,17,50,http://peabody.yale.edu/scientific-publications/journal-marine-research,0022-2402/1543-9542,A2
Geomechanics and Engineering,0.625 ,Q2,22,157,401,https://www.scimagojr.com/journalsearch.php?q=19700186912&tip=sid&clean=0,2005-307X/2092-6219,A2
Geodinamica Acta,0.622 ,Q2,46,2,51,http://geodinamica.revuesonline.com/,0985-3111/1778-3593,A2
Near Surface Geophysics,0.621 ,Q2,36,40,153,http://nsg.eage.org/,1569-4445/1873-0604,A2
Geographical Research,0.616 ,Q2,45,37,122,http://www.wiley.com/bw/journal.asp?ref=1745-5863,1745-5863/1745-5871,A1
Journal of Hydroinformatics,0.616 ,Q2,47,59,231,https://iwaponline.com/jh,1464-7141/1465-1734,A2
Geological Journal,0.615 ,Q2,50,399,459,https://onlinelibrary.wiley.com/journal/10991034,0072-1050/1099-1034,A2
Italian Journal of Geosciences,0.615 ,Q2,34,34,105,https://www.scimagojr.com/journalsearch.php?q=19700201683&tip=sid&clean=0,2038-1719/2038-1727,A2
Andean Geology,0.613 ,Q2,33,30,51,http://www.andeangeology.cl/index.php/revista1,0718-7092/0718-7106,A2
Marine Biology Research,0.613 ,Q2,34,47,273,http://www.informaworld.com/smpp/title~content=t713735885~db=all,1745-1000/1745-1019,A2
World Archaeology,0.612 ,Q2,65,27,154,http://www.informaworld.com/smpp/title~content=t713699333~db=all,0043-8243/1470-1375,A1
Disasters,0.610 ,Q2,66,78,136,https://onlinelibrary.wiley.com/journal/14677717,0361-3666/1467-7717,A1
Spatial Cognition and Computation,0.610 ,Q2,31,13,43,https://www.scimagojr.com/journalsearch.php?q=5800208235&tip=sid&clean=0,1387-5868/1542-7633,A2
"New Zealand Journal of Geology, and Geophysics",0.608 ,Q2,51,36,125,https://www.tandfonline.com/loi/tnzg20,Sin informacion,No
Stratigraphy and Geological Correlation,0.608 ,Q2,32,42,119,http://www.springer.com/earth+sciences+%26+geography/geology/journal/11506,0869-5938/1555-6263,A2
Norsk Geologisk Tiddsskrift,0.607 ,Q2,41,8,49,http://www.geologi.no/njg/,0029-196X/0801-4736,A2
Spatial Economic Analysis,0.605 ,Q2,28,31,78,http://www.informaworld.com/smpp/title~content=t724921264~db=all,1742-1772/1742-1780,A1
Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering,0.605 ,Q2,45,405,1160,http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1232,Sin informacion,No
Environmental Earth Sciences,0.604 ,Q2,107,700,3091,https://www.springer.com/journal/12665,1866-6280/1866-6299,A2
Geothermal Energy,0.602 ,Q2,15,38,74,https://link.springer.com/journal/40517,2195-9706,A2
