Nombre,Enlace,Categoria,CantidadArticulos
"International Journal of Cognitive Research in Science, Engineering and Education",http://ijcrsee.com/index.php/ijcrsee,Q4,77
Journal of Behavioral Finance,https://www.tandfonline.com/toc/hbhf20/current,Q4,97
International Journal of Design Creativity and Innovation,https://www.tandfonline.com/toc/tdci20/current,Q4,47
Adaptive Behavior,http://adb.sagepub.com/,Q4,77
Indo-European Linguistics,https://www.scimagojr.com/journalsearch.php?q=21100924303&tip=sid&clean=0,Q4,7
Journal of General Psychology,http://www.heldref.org/pubs/gen/about.html,Q4,68
Bordon,https://recyt.fecyt.es/index.php/BORDON/index,Q4,119
Teaching Exceptional Children,https://www.scimagojr.com/journalsearch.php?q=21100922942&tip=sid&clean=0,Q4,49
Revue Europeenne de Psychologie Appliquee,http://www.elsevier.com/wps/find/journaldescription.cws_home/681011/description,Q4,88
Annales Medico-Psychologiques,http://www.elsevier.com/wps/find/journaldescription.cws_home/622288/description#description,Q4,478
Vulnerable Children and Youth Studies,http://www.informaworld.com/smpp/title~content=t724921266~db=all,Q4,107
Journal of Sport and Health Research,http://www.journalshr.com/,Q4,34
Education Sciences,https://www.scimagojr.com/journalsearch.php?q=21100897500&tip=sid&clean=0,Q4,220
Irish Journal of Psychological Medicine,https://www.scimagojr.com/journalsearch.php?q=16221&tip=sid&clean=0,Q4,153
Exceptionality Education International,https://www.scimagojr.com/journalsearch.php?q=21100204509&tip=sid&clean=0,Q4,39
Socialni Prace,http://www.socialniprace.cz/eng/index.php,Q4,98
Revista Espanola de Orientacion y Psicopedagogia,https://www.scimagojr.com/journalsearch.php?q=21100244625&tip=sid&clean=0,Q4,65
Biologically Inspired Cognitive Architectures,https://www.scimagojr.com/journalsearch.php?q=21100218522&tip=sid&clean=0,Q4,119
International Journal of Transpersonal Studies,https://www.scimagojr.com/journalsearch.php?q=21100200606&tip=sid&clean=0,Q4,66
International Journal of Culture and Mental Health,https://www.tandfonline.com/loi/rccm20,Q4,161
Advances in Autism,http://www.emeraldgrouppublishing.com/aia.htm,Q4,71
Crime Psychology Review,https://www.tandfonline.com/toc/rcrm20/current,Q4,14
Psychology of Language and Communication,https://content.sciendo.com/view/journals/plc/plc-overview.xml?tab_body=overview,Q4,62
International Journal of Educational Psychology,https://www.scimagojr.com/journalsearch.php?q=21100899009&tip=sid&clean=0,Q4,13
Psicologia Sociale,https://www.mulino.it/riviste/issn/1827-2517,Q4,50
Zeitschrift fur Evaluation,https://www.scimagojr.com/journalsearch.php?q=7200153128&tip=sid&clean=0,Q4,91
International Journal of Children's Spirituality,https://www.scimagojr.com/journalsearch.php?q=19700181331&tip=sid&clean=0,Q4,87
Psychologie du Travail et des Organisations,https://www.scimagojr.com/journalsearch.php?q=4100151502&tip=sid&clean=0,Q4,74
Journal of Psychologists and Counsellors in Schools,https://www.cambridge.org/core/journals/journal-of-psychologists-and-counsellors-in-schools,Q4,46
Revista de Cercetare si Interventie Sociala,https://www.rcis.ro/,Q4,210
Ljetopis Socijalnog Rada,https://www.scimagojr.com/journalsearch.php?q=12100156089&tip=sid&clean=0,Q4,60
Neuropsychological Trends,https://www.scimagojr.com/journalsearch.php?q=19900193879&tip=sid&clean=0,Q4,33
Journal of Psychological and Educational Research,http://www.marianjournals.com/about-jper/,Q4,49
Psychologist-Manager Journal,https://www.scimagojr.com/journalsearch.php?q=19700187812&tip=sid&clean=0,Q4,39
Acta Comportamentalia,https://www.scimagojr.com/journalsearch.php?q=5700169412&tip=sid&clean=0,Q4,64
Acta Neuropsychologica,https://www.scimagojr.com/journalsearch.php?q=300147009&tip=sid&clean=0,Q4,93
Neuroscience and Neuroeconomics,https://www.dovepress.com/neuroscience-and-neuroeconomics-archive125,Q4,4
Revista Brasileira de Orientacao Profissional,http://abopbrasil.org.br/revista/,Q4,66
"Forensische Psychiatrie, Psychologie, Kriminologie",http://www.springer.com/medicine/psychiatry/journal/11757,Q4,147
European Journal of Humour Research,https://europeanjournalofhumour.org/index.php/ejhr/index,Q4,72
Journal of Management and Business Administration. Central Europe,https://www.scimagojr.com/journalsearch.php?q=21100888815&tip=sid&clean=0,Q4,82
Deviance et Societe (discontinued),http://www.cairn.info/revue-deviance-et-societe.htm,Q4,44
Journal of Applied Research on Children,https://www.scimagojr.com/journalsearch.php?q=21100372604&tip=sid&clean=0,Q4,49
Journal of Feminist Family Therapy,http://www.informaworld.com/smpp/title~content=t792304002~db=all,Q4,33
Journal of Forensic Practice,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jfp,Q4,90
Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide,https://www.scimagojr.com/journalsearch.php?q=19900192514&tip=sid&clean=0,Q4,33
Salud y Drogas,https://www.haaj.org/,Q4,78
International Journal of Education and Practice,http://www.conscientiabeam.com/journal/61,Q4,21
