Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Indian Journal of Ecology,0.21,Q4,4,167,454,http://indianecologicalsociety.com/society/journal/,0304-5250,C
Genetics of Aquatic Organisms,0.209,Q4,2,10,20,https://www.scimagojr.com/journalsearch.php?q=21100945962&tip=sid&clean=0,2459-1831/2587-2265,C
Herpetological Bulletin,0.20800000000000002,Q4,12,48,152,http://www.thebhs.org/pubs_bulletin.html,1473-0928,C
California Fish and Game,0.207,Q4,17,8,56,http://www.dfg.ca.gov/publications/journal/index.html,0008-1078/2331-0405,C
Phyllomedusa,0.20600000000000002,Q4,19,30,86,http://www.phyllomedusa.esalq.usp.br/,1519-1397/2316-9079,C
Annali di Botanica,0.205,Q4,17,9,26,https://www.scimagojr.com/journalsearch.php?q=21100370876&tip=sid&clean=0,0365-0812/2239-3129,C
Iranian Journal of Ichthyology,0.205,Q4,10,19,87,http://ijichthyol.org/index.php/iji,2383-0964/2383-1561,C
Agrokemia es Talajtan,0.204,Q4,9,27,64,http://www.akademiai.com/content/119721/?p=07b7f7741e4a4b5db44f0dd4110d14c5&pi=21,0002-1873/1588-2713,C
Food and Foodways,0.204,Q4,12,17,50,http://www.tandf.co.uk/journals/titles/07409710.asp,0740-9710/1542-3484,A2
Hellenic Plant Protection Journal,0.204,Q4,9,6,30,https://www.scimagojr.com/journalsearch.php?q=17600155125&tip=sid&clean=0,1791-3691,C
Zoologicheskii Zhurnal,0.204,Q4,15,121,383,https://www.scimagojr.com/journalsearch.php?q=24566&tip=sid&clean=0,0044-5134,C
International Journal of Zoology,0.203,Q4,15,8,21,https://www.scimagojr.com/journalsearch.php?q=21100197918&tip=sid&clean=0,1687-8477/1687-8485,C
Norwegian Journal of Entomology,0.203,Q4,9,0,59,http://www.entomologi.no/journals/nje/nje.htm,1501-8415,C
Geo-Eco-Marina,0.20199999999999999,Q4,7,19,40,https://www.scimagojr.com/journalsearch.php?q=21100225849&tip=sid&clean=0,Sin informacion,No
Zuchtungskunde,0.20199999999999999,Q4,16,32,103,https://www.scimagojr.com/journalsearch.php?q=37303&tip=sid&clean=0,0044-5401/1867-4518,C
Electronic Journal of Plant Breeding,0.201,Q4,9,208,558,http://www.ejplantbreeding.org/index.php/EJPB,0975-928X,C
Revista Colombiana de Ciencias Pecuarias,0.201,Q4,12,38,127,https://revistas.udea.edu.co/index.php/rccp,Sin informacion,No
Romanian Biotechnological Letters (discontinued),0.201,Q4,24,0,127,https://www.scimagojr.com/journalsearch.php?q=19400158329&tip=sid&clean=0,Sin informacion,No
Entomological News,0.2,Q4,23,42,143,https://bioone.org/journals/entomological-news,0013-872X/2162-3236,C
Nippon Shokuhin Kagaku Kogaku Kaishi,0.2,Q4,22,53,236,http://shokkako.ac.affrc.go.jp/mokujitop.htm,1341-027X,C
Theoretical and Applied Ecology,0.2,Q4,2,78,120,http://envjournal.ru/?jz=an,1995-4301,C
Hydrobiological Journal,0.19899999999999998,Q4,9,60,179,http://www.begellhouse.com/journals/38cb2223012b73f2.html,0018-8166/0375-8990,B
Indian Journal of Fisheries,0.19899999999999998,Q4,11,79,304,http://epubs.icar.org.in/ejournal/index.php/IJF/index,0970-6011,C
International Journal of Food Studies,0.19899999999999998,Q4,8,20,60,https://www.iseki-food-ejournal.com/ojs/index.php/e-journal,2182-1054,C
Journal of Biological Research (Italy),0.19899999999999998,Q4,5,12,48,http://www.jbiolres.org/,Sin informacion,No
Korean Journal of Food Preservation,0.19899999999999998,Q4,3,70,248,http://www.ekosfop.or.kr,1738-7248/2287-7428,C
Natural Product Communications,0.19899999999999998,Q4,39,258,1310,https://journals.sagepub.com/home/npx,1555-9475/1934-578X,B
Plant Breeding and Biotechnology,0.19899999999999998,Q4,3,29,42,https://www.scimagojr.com/journalsearch.php?q=21100867253&tip=sid&clean=0,2287-9358/2287-9366,B
Agrivita,0.198,Q4,7,60,135,https://agrivita.ub.ac.id/index.php/agrivita,0126-0537,C
British Wildlife,0.198,Q4,16,64,256,http://www.britishwildlife.com/,0958-0956,B
Herpetology Notes,0.198,Q4,15,188,333,https://www.scimagojr.com/journalsearch.php?q=19600162205&tip=sid&clean=0,2071-5773,C
Iranian Journal of Plant Physiology,0.198,Q4,2,17,88,http://ijpp.iau-saveh.ac.ir/,2228-5512/2322-2808,C
Journal of Entomological Research,0.198,Q4,7,51,225,https://www.indianjournals.com/ijor.aspx?target=ijor:jer&type=home,0378-9519/0974-4576,C
Nova Biotechnologica et Chimica,0.198,Q4,8,20,60,https://www.scimagojr.com/journalsearch.php?q=21100373285&tip=sid&clean=0,1338-6905/1339-004X,C
Rhodora,0.198,Q4,19,13,74,https://www.scimagojr.com/journalsearch.php?q=17166&tip=sid&clean=0,0035-4902/1938-3401,C
Botanikai Kozlemenyek,0.19699999999999998,Q4,2,12,34,http://www.botkozlem.elte.hu/en/index,0006-8144/2415-9662,C
Canadian Field-Naturalist,0.19699999999999998,Q4,26,24,130,https://www.scimagojr.com/journalsearch.php?q=20071&tip=sid&clean=0,Sin informacion,No
Asian Journal of Crop Science (discontinued),0.196,Q4,14,0,58,https://www.scimagojr.com/journalsearch.php?q=15600154708&tip=sid&clean=0,Sin informacion,No
Ornamental Horticulture,0.196,Q4,4,44,151,https://ornamentalhorticulture.emnuvens.com.br/rbho,2447-536X,C
Food Protection Trends,0.195,Q4,13,0,112,https://www.scimagojr.com/journalsearch.php?q=21100201021&tip=sid&clean=0,1541-9576,C
Haseltonia,0.195,Q4,11,0,48,https://www.scimagojr.com/journalsearch.php?q=18630&tip=sid&clean=0,1070-0048/1938-2898,C
Botanica Complutensis,0.19399999999999998,Q4,10,7,32,https://revistas.ucm.es/index.php/BOCM,0214-4565/1988-2874,C
Agronomia Colombiana,0.193,Q4,10,27,125,https://revistas.unal.edu.co/index.php/agrocol,Sin informacion,No
Journal of Agricultural and Food Industrial Organization,0.193,Q4,20,16,38,https://www.degruyter.com/view/j/jafio,1542-0485,B
Listy Cukrovarnicke a Reparske,0.193,Q4,12,73,244,http://www.cukr-listy.cz/,1210-3306/1805-9708,C
Pertanika Journal of Tropical Agricultural Science,0.192,Q4,13,93,238,https://www.scimagojr.com/journalsearch.php?q=15500154710&tip=sid&clean=0,1511-3701,C
International Journal of Poultry Science (discontinued),0.191,Q4,46,0,227,https://www.scimagojr.com/journalsearch.php?q=4000151807&tip=sid&clean=0,Sin informacion,No
Korean Journal of Mycology,0.191,Q4,2,47,55,https://www.scimagojr.com/journalsearch.php?q=21100876244&tip=sid&clean=0,0253-651X/2383-5249,C
Landscape History,0.191,Q4,8,12,34,https://www.scimagojr.com/journalsearch.php?q=15923&tip=sid&clean=0,0143-3768/2160-2506,A1
Revista Colombiana de Entomologia,0.19,Q4,17,9,116,https://www.scimagojr.com/journalsearch.php?q=19700174720&tip=sid&clean=0,Sin informacion,No
Haiyang Xuebao,0.18899999999999997,Q4,4,145,405,http://english.hyxb.org.cn/EN/volume/current.shtml,0253-4193,B
Journal of Aquatic Plant Management (discontinued),0.18899999999999997,Q4,29,0,39,http://www.apms.org/journals/,Sin informacion,No
