Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Nature Reviews Materials,36.691,Q1,80,85,288,https://www.nature.com/natrevmats/,2058-8437,A1
Nature Energy,19.635,Q1,92,222,555,https://www.nature.com/nenergy/,2058-7546,A1
Energy and Environmental Sciences,13.024,Q1,311,282,889,https://www.rsc.org/journals-books-databases/about-journals/energy-environmental-science/,1754-5692/1754-5706,A1
Advanced Energy Materials,9.513 ,Q1,186,632,1838,https://onlinelibrary.wiley.com/journal/16146840,1614-6832/1614-6840,A1
Joule,9.340 ,Q1,53,275,337,https://www.cell.com/joule/home,2542-4351,A1
Progress in Energy and Combustion Science,8.477 ,Q1,176,31,84,https://www.journals.elsevier.com/progress-in-energy-and-combustion-science/,0360-1285/1873-216X,A1
ACS Energy Letters,8.057 ,Q1,75,408,1022,https://pubs.acs.org/journal/aelccp,2380-8195,A1
Nano Energy,5.633 ,Q1,139,1036,2122,https://www.journals.elsevier.com/nano-energy,2211-2855/2211-3282,A1
Energy Storage Materials,5.044 ,Q1,54,420,386,https://www.journals.elsevier.com/energy-storage-materials,2405-8297,A1
Renewable and Sustainable Energy Reviews,3.632 ,Q1,258,687,3922,https://www.sciencedirect.com/journal/renewable-and-sustainable-energy-reviews,1364-0321,A1
Applied Energy,3.607 ,Q1,189,1811,5177,https://www.journals.elsevier.com/applied-energy,0306-2619/1872-9118,A1
IEEE Transactions on Sustainable Energy,3.593 ,Q1,101,222,523,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5165391,1949-3029,A1
Nature Sustainability,3.488 ,Q1,20,230,169,https://www.nature.com/natsustain/,2398-9629,A1
IEEE Transactions on Power Systems,3.434 ,Q1,242,515,1669,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=59,0885-8950/1558-0679,A1
Journal of Materials Chemistry A,3.432 ,Q1,185,2776,7219,https://www.rsc.org/journals-books-databases/about-journals/journal-of-materials-chemistry-a/,2050-7488/2050-7496,A1
Materials Today Physics,3.235 ,Q1,21,52,72,https://www.journals.elsevier.com/materials-today-physics,2542-5293,A1
Annual Review of Chemical and Biomolecular Engineering,3.106 ,Q1,51,18,72,https://www.annualreviews.org/journal/chembioeng,1947-5438/1947-5446,A1
Energy Conversion and Management,2.924 ,Q1,177,1261,3264,https://www.journals.elsevier.com/energy-conversion-and-management,0196-8904/1879-2227,A1
Environmental Innovation and Societal Transitions,2.782 ,Q1,42,83,128,https://www.journals.elsevier.com/environmental-innovation-and-societal-transitions,2210-4224/2210-4232,A1
Environmental Research Letters,2.675 ,Q1,109,474,1413,http://iopscience.iop.org/journal/1748-9326,1748-9326,A1
IEEE Journal of Emerging and Selected Topics in Power Electronics,2.585 ,Q1,59,264,504,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6245517,2168-6777/2168-6785,A1
Bioresource Technology,2.430 ,Q1,273,1627,4926,https://www.journals.elsevier.com/bioresource-technology,0960-8524/1873-2976,A1
Energy Economics,2.409 ,Q1,136,220,979,http://www.elsevier.com/wps/find/journaldescription.cws_home/30413/description#description,0140-9883/1873-6181,A1
ChemSusChem,2.374 ,Q1,145,595,1536,https://chemistry-europe.onlinelibrary.wiley.com/journal/1864564x,1864-5631/1864-564X,A1
International Journal of Coal Geology,2.352 ,Q1,123,151,568,https://www.sciencedirect.com/journal/international-journal-of-coal-geologyn,0166-5162/1872-7840,A1
Energy Research and Social Science,2.205 ,Q1,49,267,746,https://www.journals.elsevier.com/energy-research-and-social-science/,2214-6296/2214-6326,A1
Energy Policy,2.168 ,Q1,197,762,1996,https://www.journals.elsevier.com/energy-policy,0301-4215/1873-6777,A1
Energy,2.166 ,Q1,173,2390,5727,https://www.journals.elsevier.com/energy,0360-5442/1873-6785,A1
IEEE Transactions on Power Delivery,2.129 ,Q1,177,262,923,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=61,0885-8977/1937-4208,A1
Journal of Power Sources,2.111 ,Q1,286,1268,4188,https://www.journals.elsevier.com/journal-of-power-sources,0378-7753/1873-2755,A1
Combustion and Flame,2.079 ,Q1,168,450,1192,https://www.journals.elsevier.com/combustion-and-flame,0010-2180/1556-2921,A1
Renewable Energy,2.052 ,Q1,174,1523,3279,https://www.sciencedirect.com/journal/renewable-energy,0960-1481,A1
IEEE Power and Energy Magazine,2.027 ,Q1,68,72,235,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8014,1540-7977/1558-4216,A1
IEEE Transactions on Transportation Electrification,1.895 ,Q1,32,123,209,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6687316,2332-7782,A1
Journal of Cleaner Production,1.886 ,Q1,173,4078,8612,https://www.journals.elsevier.com/journal-of-cleaner-production,Sin informacion,No
Progress in Photovoltaics: Research and Applications,1.862 ,Q1,122,115,346,https://onlinelibrary.wiley.com/journal/1099159x,Sin informacion,No
Solar Energy Materials and Solar Cells,1.827 ,Q1,178,571,1714,https://www.journals.elsevier.com/solar-energy-materials-and-solar-cells,0927-0248/1879-3398,A1
GCB Bioenergy,1.810 ,Q1,56,95,284,https://onlinelibrary.wiley.com/journal/17571707,1757-1693/1757-1707,A1
Green Energy and Environment,1.799 ,Q1,20,56,114,https://www.sciencedirect.com/journal/green-energy-and-environment,2096-2797/2468-0257,A1
Fuel,1.797 ,Q1,199,2161,4340,http://www.elsevier.com/wps/find/journaldescription.cws_home/30420/description#description,0016-2361/1873-7153,A1
Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,1.783 ,Q1,46,120,350,http://syktykf.alljournals.ac.cn/syktykfen/ch/chttp://www.cpedm.com/CN/volumn/home.shtml,Sin informacion,No
Sustainable Energy and Fuels,1.783 ,Q1,26,366,474,https://www.rsc.org/journals-books-databases/about-journals/sustainable-energy-fuels/,2398-4902,A1
Applied Thermal Engineering,1.780 ,Q1,144,1646,5724,https://www.journals.elsevier.com/applied-thermal-engineering,1359-4311,A1
IEEE Transactions on Energy Conversion,1.776 ,Q1,167,181,567,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=60,0885-8969/1558-0059,A1
ACS Sustainable Chemistry & Engineering,1.766 ,Q1,85,2193,3994,https://pubs.acs.org/journal/ascecg,Sin informacion,No
Protection and Control of Modern Power Systems,1.730 ,Q1,13,29,39,https://pcmp.springeropen.com/,2367-0983/2367-2617,A1
Materials Today Energy,1.653 ,Q1,22,136,227,https://www.journals.elsevier.com/materials-today-energy,2468-6069,A1
Biofuel Research Journal,1.626 ,Q1,24,16,65,https://www.biofueljournal.com/,2292-8782,A1
Journal of Energy Chemistry,1.591 ,Q1,52,277,485,https://www.journals.elsevier.com/journal-of-energy-chemistry,2095-4956,A1
Fuel Processing Technology,1.551 ,Q1,137,251,1229,https://www.journals.elsevier.com/fuel-processing-technology,0378-3820/1873-7188,A1
Global Environmental Politics,1.550 ,Q1,54,23,90,https://www.mitpressjournals.org/loi/glep,1526-3800/1536-0091,A1
Polymer Reviews,1.542 ,Q1,85,30,68,https://www.tandfonline.com/loi/lmsc20,1558-3716/1558-3724,A1
Solar Energy,1.537 ,Q1,167,1099,2625,https://www.journals.elsevier.com/solar-energy,0038-092X,A1
Biotechnology for Biofuels,1.522 ,Q1,84,292,910,https://biotechnologyforbiofuels.biomedcentral.com/,1754-6834,A1
ACS Applied Energy Materials,1.495 ,Q1,21,1031,842,https://pubs.acs.org/journal/aaemcq,2574-0962,A1
International Journal of Sustainable Transportation,1.493 ,Q1,37,118,219,https://www.tandfonline.com/loi/ujst20,1556-8318/1556-8334,A1
Energy for Sustainable Development,1.488 ,Q1,59,70,243,https://www.journals.elsevier.com/energy-for-sustainable-development,0973-0826,A1
Energy Journal,1.480 ,Q1,73,60,217,https://www.iaee.org/en/publications/scope.aspx,0195-6574/1944-9089,A1
Journal of Physical Chemistry C,1.477 ,Q1,267,3824,9674,http://pubs.acs.org/journal/jpccck,1932-7447/1932-7455,A1
International Journal of Precision Engineering and Manufacturing - Green Technology,1.412 ,Q1,27,111,170,https://www.springer.com/engineering/industrial+management/journal/40684,Sin informacion,No
Geothermics,1.404 ,Q1,64,131,390,https://www.journals.elsevier.com/geothermics,0375-6505/1879-3576,A1
International Journal of Mining Science and Technology,1.401 ,Q1,39,124,432,https://www.journals.elsevier.com/international-journal-of-mining-science-and-technology,2095-2686/2212-6066,A1
Geophysics,1.392 ,Q1,162,366,1197,https://library.seg.org/journal/gpysa7,0016-8033/1942-2156,A1
Experimental Thermal and Fluid Science,1.389 ,Q1,102,329,1047,https://www.journals.elsevier.com/experimental-thermal-and-fluid-science,0894-1777/1879-2286,A1
AAPG Bulletin,1.371 ,Q1,125,94,263,https://www.aapg.org/publications/journals/bulletin,0149-1423/1558-9153,A1
Sustainable Cities and Society,1.356 ,Q1,43,530,938,https://www.journals.elsevier.com/sustainable-cities-and-society,2210-6707/2210-6715,A1
Sustainable Materials and Technologies,1.355 ,Q1,18,42,65,https://www.journals.elsevier.com/sustainable-materials-and-technologies,2214-9929/2214-9937,A1
International Journal of Sustainable Energy Planning and Management,1.342 ,Q1,14,54,51,https://journals.aau.dk/index.php/sepm/index,2246-2929,A1
Energy Strategy Reviews,1.336 ,Q1,28,114,169,https://www.journals.elsevier.com/energy-strategy-reviews,2211-467X/2211-4688,A1
SPE Journal,1.326 ,Q1,94,161,466,https://www.onepetro.org/journals/SPE%20Journal/Preprint/Preprint,1086-055X/1930-0220,A1
Journal of Modern Power Systems and Clean Energy,1.321 ,Q1,32,148,271,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8685265,2196-5420/2196-5625,A1
Journal of Natural Gas Science and Engineering,1.305 ,Q1,55,258,1639,https://www.journals.elsevier.com/journal-of-natural-gas-science-and-engineering,1875-5100/2212-3865,A1
IET Renewable Power Generation,1.301 ,Q1,68,302,664,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4159946,1752-1416/1752-1424,A1
Food and Energy Security,1.287 ,Q1,23,28,61,https://onlinelibrary.wiley.com/journal/20483694,2048-3694,A1
Geomechanics and Geophysics for Geo-Energy and Geo-Resources,1.282 ,Q1,17,28,76,https://www.springer.com/journal/40948,Sin informacion,No
Journal of the Energy Institute,1.262 ,Q1,36,208,282,https://www.journals.elsevier.com/journal-of-the-energy-institute,1743-9671/1746-0220,A1
Shiyou Xuebao/Acta Petrolei Sinica,1.247 ,Q1,53,154,475,http://www.syxb-cps.com.cn/EN/column/item73.shtml,Sin informacion,No
IEEE Electrification Magazine,1.204 ,Q1,24,36,97,https://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=6508996,Sin informacion,No
International Journal of Electrical Power and Energy Systems,1.203 ,Q1,116,632,1193,https://www.journals.elsevier.com/international-journal-of-electrical-power-and-energy-systems,0142-0615/1879-3517,A1
"IET Generation, Transmission and Distribution",1.200 ,Q1,102,555,1460,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4082359,Sin informacion,No
International Journal of Coal Science and Technology,1.194 ,Q1,21,54,116,https://www.springer.com/journal/40789,2095-8293/2198-7823,A1
IEEE Transactions on Green Communications and Networking,1.180 ,Q1,18,99,140,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7511293,2473-2400,A1
Sustainable Energy Technologies and Assessments,1.165 ,Q1,30,147,244,https://www.journals.elsevier.com/sustainable-energy-technologies-and-assessments,2213-1388/2213-1396,A1
Journal of Analytical and Applied Pyrolysis,1.151 ,Q1,124,221,870,https://www.journals.elsevier.com/journal-of-analytical-and-applied-pyrolysis,0165-2370/1873-250X,A1
International Journal of Hydrogen Energy,1.141 ,Q1,202,3198,7601,https://www.journals.elsevier.com/international-journal-of-hydrogen-energy,0360-3199/1879-3487,A1
International Journal of Greenhouse Gas Control,1.131 ,Q1,107,276,907,https://www.journals.elsevier.com/international-journal-of-greenhouse-gas-control,1750-5836/1878-0148,A1
Probabilistic Engineering Mechanics,1.131 ,Q1,73,24,120,https://www.journals.elsevier.com/probabilistic-engineering-mechanics,0266-8920/1878-4275,A1
Plasma Physics and Controlled Fusion,1.109 ,Q1,106,311,807,https://iopscience.iop.org/journal/0741-3335,0741-3335/1361-6587,A1
Engineering,1.077 ,Q1,30,148,317,https://www.journals.elsevier.com/engineering/,0013-7782,C
Economics of Energy and Environmental Policy,1.076 ,Q1,20,22,50,https://www.iaee.org/en/Publications/eeepindex.aspx,2160-5882/2160-5890,A1
Nuclear Engineering and Design,1.073 ,Q1,95,422,1354,https://www.journals.elsevier.com/nuclear-engineering-and-design,0029-5493/1872-759X,A1
Current Opinion in Chemical Engineering,1.067 ,Q1,41,84,228,https://www.journals.elsevier.com/current-opinion-in-chemical-engineering,2211-3398,A1
Combustion Theory and Modelling,1.060 ,Q1,57,68,160,https://www.tandfonline.com/loi/tctm20,1364-7830/1741-3559,A1
Journal of Petroleum Science and Engineering,1.058 ,Q1,98,1200,1997,https://www.journals.elsevier.com/journal-of-petroleum-science-and-engineering,0920-4105/1873-4715,A1
SAE International Journal of Engines,1.058 ,Q1,53,32,464,https://www.sae.org/publications/collections/content/E-JOURNAL-03/,1946-3936/1946-3944,A1
Molecular Systems Design and Engineering,1.045 ,Q1,14,100,175,https://www.rsc.org/journals-books-databases/about-journals/msde/,2058-9689,A1
Egyptian Journal of Petroleum,1.044 ,Q1,28,61,303,https://www.journals.elsevier.com/egyptian-journal-of-petroleum/,1110-0621/2090-2468,A1
Energy & Fuels,1.044 ,Q1,174,1311,3952,https://pubs.acs.org/journal/enfuem,Sin informacion,No
Electric Power Systems Research,1.042 ,Q1,114,370,1212,https://www.journals.elsevier.com/electric-power-systems-research,0378-7796/1873-2046,A1
Journal of Unconventional Oil and Gas Resources,1.026 ,Q1,21,0,39,https://www.journals.elsevier.com/journal-of-unconventional-oil-and-gas-resources,Sin informacion,No
"Sustainable Energy, Grids and Networks",1.022 ,Q1,22,50,148,https://www.journals.elsevier.com/sustainable-energy-grids-and-networks,Sin informacion,No
ChemNanoMat,1.010 ,Q1,25,189,391,https://onlinelibrary.wiley.com/journal/2199692x,2199-692X,A1
Matter and Radiation at Extremes,1.010 ,Q1,13,41,89,https://aip.scitation.org/journal/mre,2468-080X/2468-2047,A1
Building Simulation,0.985 ,Q1,26,93,222,https://www.scimagojr.com/journalsearch.php?q=19500157074&tip=sid&clean=0,1996-3599/1996-8744,A1
Nuclear Materials and Energy,0.983 ,Q1,19,190,506,https://www.journals.elsevier.com/nuclear-materials-and-energy,2352-1791,A1
Journal of Nuclear Materials,0.980 ,Q1,132,571,1868,http://www.elsevier.com/wps/find/journaldescription.cws_home/505671/description#description,0022-3115/1873-4820,A1
Energy Reports,0.977 ,Q1,23,214,122,https://www.journals.elsevier.com/energy-reports,2352-4847,A1
International Journal of Biological Macromolecules,0.972 ,Q1,114,3214,5163,http://www.elsevier.com/wps/find/journaldescription.cws_home/525446/description#description,0141-8130/1879-0003,A1
Journal of Ocean Engineering and Marine Energy,0.967 ,Q1,14,29,86,https://link.springer.com/journal/40722,2198-6444/2198-6452,A1
Journal of Energy Storage,0.962 ,Q1,29,415,532,https://www.journals.elsevier.com/journal-of-energy-storage,2352-152X,A1
