Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
Chemical Reviews,20.847,Q1,656,240,821,https://pubs.acs.org/journal/chreay,0009-2665/1520-6890,A1
Nature Reviews Chemistry,15.610,Q1,33,84,141,https://www.nature.com/natrevchem/,2397-3358,A1
Nature Materials,14.862,Q1,448,300,801,http://www.nature.com/nmat/index.html,1476-1122/1476-4660,A1
Chemical Society Reviews,14.490,Q1,471,275,941,https://www.rsc.org/journals-books-databases/about-journals/chem-soc-rev/,0306-0012/1460-4744,A1
Nature Chemistry,9.927 ,Q1,212,210,693,https://www.nature.com/nchem/,1755-4330/1755-4349,A1
Nano Futures,8.711 ,Q1,9,17,56,https://iopscience.iop.org/journal/2399-1984,2399-1984,A1
Accounts of Chemical Research,8.693 ,Q1,376,336,955,https://pubs.acs.org/journal/achre4,0001-4842/1520-4898,A1
ACS Energy Letters,8.057 ,Q1,75,408,1022,https://pubs.acs.org/journal/aelccp,2380-8195,A1
Journal of the American Chemical Society,6.976 ,Q1,582,2514,7611,https://pubs.acs.org/journal/jacsat,0002-7863/1520-5126,A1
Progress in Polymer Science,6.210 ,Q1,266,60,158,https://www.journals.elsevier.com/progress-in-polymer-science,0079-6700/1873-1619,A1
Chem,6.144 ,Q1,54,230,519,https://www.cell.com/chem/home,2451-9294/2451-9308,A1
Advanced Functional Materials,5.875 ,Q1,298,1498,3143,http://www3.interscience.wiley.com/journal/77003362/home/ProductInformation.html,Sin informacion,No
Nano Letters,5.786 ,Q1,461,1263,3469,https://pubs.acs.org/journal/nalefd,1530-6984/1530-6992,A1
Small Methods,5.723 ,Q1,18,142,34,https://onlinelibrary.wiley.com/journal/23669608,2366-9608,A1
Nature Communications,5.569 ,Q1,298,5835,14031,https://www.nature.com/ncomms/,2041-1723,A1
Angewandte Chemie - International Edition,5.438 ,Q1,523,3103,8640,https://onlinelibrary.wiley.com/journal/15213773,Sin informacion,No
ACS Central Science,4.964 ,Q1,55,247,587,https://pubs.acs.org/journal/acscii,2374-7943/2374-7951,A1
Annual Review of Physical Chemistry,4.888 ,Q1,158,15,79,https://www.annualreviews.org/journal/physchem,Sin informacion,No
ACS Catalysis,4.633 ,Q1,169,1179,3261,https://pubs.acs.org/journal/accacs,2155-5435,A1
Surface Science Reports,4.154 ,Q1,111,6,26,https://www.journals.elsevier.com/surface-science-reports,0167-5729/1879-274X,A1
Wiley Interdisciplinary Reviews: Computational Molecular Science,4.091 ,Q1,71,49,112,https://onlinelibrary.wiley.com/journal/17590884,Sin informacion,No
Coordination Chemistry Reviews,4.044 ,Q1,265,269,632,https://www.journals.elsevier.com/coordination-chemistry-reviews,0010-8545/1873-3840,A1
Chemistry of Materials,3.971 ,Q1,355,1085,3216,https://pubs.acs.org/journal/cmatex,0897-4756/1520-5002,A1
npj 2D Materials and Applications,3.769 ,Q1,18,51,80,https://www.nature.com/npj2dmaterials/,2397-7132,A1
Chemical Science,3.756 ,Q1,154,1306,2889,https://www.rsc.org/journals-books-databases/about-journals/chemical-science/,2041-6520/2041-6539,A1
Small,3.717 ,Q1,215,1081,2516,https://onlinelibrary.wiley.com/journal/16136829,1613-6810/1613-6829,A1
Journal of Materials Chemistry A,3.432 ,Q1,185,2776,7219,https://www.rsc.org/journals-books-databases/about-journals/journal-of-materials-chemistry-a/,2050-7488/2050-7496,A1
Natural Product Reports,3.421 ,Q1,168,111,218,https://www.rsc.org/journals-books-databases/about-journals/npr/,0265-0568/1460-4752,A1
2D Materials,3.133 ,Q1,49,226,669,https://iopscience.iop.org/journal/2053-1583,2053-1583,A1
Annual Review of Chemical and Biomolecular Engineering,3.106 ,Q1,51,18,72,https://www.annualreviews.org/journal/chembioeng,1947-5438/1947-5446,A1
International Reviews in Physical Chemistry,3.055 ,Q1,80,8,41,https://www.tandfonline.com/loi/trpc20,0144-235X/1366-591X,A1
Current Opinion in Chemical Biology,3.011 ,Q1,179,122,355,https://www.journals.elsevier.com/current-opinion-in-chemical-biology,1367-5931/1879-0402,A1
Journal of Physical Chemistry Letters,2.976 ,Q1,181,1193,2944,https://pubs.acs.org/journal/jpclcd,1948-7185,A1
Progress in Surface Science,2.759 ,Q1,76,5,31,https://www.journals.elsevier.com/progress-in-surface-science,0079-6816,A1
Environmental Science & Technology,2.704 ,Q1,373,1596,4785,https://pubs.acs.org/journal/esthag,Sin informacion,No
Biosensors and Bioelectronics,2.680 ,Q1,181,899,2868,http://www.elsevier.com/wps/find/journaldescription.cws_home/405913/description#description,0956-5663/1873-4235,A1
Annual Review of Analytical Chemistry,2.616 ,Q1,68,24,66,https://www.annualreviews.org/journal/anchem,Sin informacion,No
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,2.527 ,Q1,86,24,65,https://www.journals.elsevier.com/journal-of-photochemistry-and-photobiology-c-photochemistry-reviews,Sin informacion,No
Lab on a Chip - Miniaturisation for Chemistry and Biology,2.491 ,Q1,197,459,1209,https://www.rsc.org/journals-books-databases/about-journals/lab-on-a-chip/,Sin informacion,No
Progress in Nuclear Magnetic Resonance Spectroscopy,2.387 ,Q1,100,20,55,https://www.sciencedirect.com/journal/progress-in-nuclear-magnetic-resonance-spectroscopy,0079-6565/1873-3301,A1
Molecular and Cellular Proteomics,2.355 ,Q1,181,215,636,http://www.mcponline.org/,1535-9476/1535-9484,A1
Catalysis Reviews - Science and Engineering,2.325 ,Q1,98,18,28,https://www.tandfonline.com/loi/lctr20,Sin informacion,No
Chemical Engineering Journal,2.315 ,Q1,198,2815,5740,https://www.journals.elsevier.com/chemical-engineering-journal,1385-8947/1873-3212,A1
Journal of Catalysis,2.256 ,Q1,231,501,1101,https://www.sciencedirect.com/journal/journal-of-catalysis,0021-9517/1090-2694,A1
Carbon,2.234 ,Q1,264,1139,3150,https://www.journals.elsevier.com/carbon,0008-6223/1873-3891,A1
Food Hydrocolloids,2.160 ,Q1,144,701,1491,https://www.journals.elsevier.com/food-hydrocolloids,0268-005X/1873-7137,A1
TrAC - Trends in Analytical Chemistry,2.153 ,Q1,157,389,745,https://www.journals.elsevier.com/trends-in-analytical-chemistry,Sin informacion,No
Analytical Chemistry,2.127 ,Q1,320,2199,5434,http://pubs.acs.org/journal/ancham,0003-2700/1520-6882,A1
Proceedings of the Combustion Institute,2.116 ,Q1,133,637,503,https://www.journals.elsevier.com/proceedings-of-the-combustion-institute,1540-7489/1873-2704,A1
Journal of Power Sources,2.111 ,Q1,286,1268,4188,https://www.journals.elsevier.com/journal-of-power-sources,0378-7753/1873-2755,A1
Combustion and Flame,2.079 ,Q1,168,450,1192,https://www.journals.elsevier.com/combustion-and-flame,0010-2180/1556-2921,A1
Advances in Colloid and Interface Science,2.066 ,Q1,171,105,330,https://www.sciencedirect.com/journal/advances-in-colloid-and-interface-science,0001-8686/1873-3727,A1
Macromolecules,2.064 ,Q1,302,982,3014,https://pubs.acs.org/journal/mamobx#,0024-9297/1520-5835,A1
ACS Macro Letters,2.051 ,Q1,81,275,821,https://pubs.acs.org/journal/amlccd,2161-1653,A1
Organic Letters,2.032 ,Q1,232,2145,5275,https://pubs.acs.org/journal/orlef7,1523-7052/1523-7060,A1
Chemical Communications,1.992 ,Q1,318,3755,8803,https://www.rsc.org/journals-books-databases/about-journals/chemcomm/,1359-7345/1364-548X,A1
Corrosion Science,1.971 ,Q1,187,462,1243,https://www.journals.elsevier.com/corrosion-science,0010-938X/1879-0496,A1
Journal of Materials Chemistry C,1.934 ,Q1,108,1665,4198,https://www.rsc.org/journals-books-databases/about-journals/journal-of-materials-chemistry-c/,2050-7526/2050-7534,A1
Mass Spectrometry Reviews,1.920 ,Q1,123,39,102,https://onlinelibrary.wiley.com/journal/10982787,0277-7037/1098-2787,A1
Journal of Membrane Science,1.898 ,Q1,232,842,2550,https://www.journals.elsevier.com/journal-of-membrane-science,0376-7388/1873-3123,A1
Topics in Current Chemistry,1.855 ,Q1,91,38,241,https://www.springer.com/journal/41061,Sin informacion,No
Desalination,1.814 ,Q1,169,296,1134,https://www.sciencedirect.com/journal/desalination,0011-9164/1873-4464,A1
Fuel,1.797 ,Q1,199,2161,4340,http://www.elsevier.com/wps/find/journaldescription.cws_home/30420/description#description,0016-2361/1873-7153,A1
Food Chemistry,1.775 ,Q1,242,2139,5587,https://www.journals.elsevier.com/food-chemistry,0308-8146/1873-7072,A1
ACS Sustainable Chemistry & Engineering,1.766 ,Q1,85,2193,3994,https://pubs.acs.org/journal/ascecg,Sin informacion,No
Redox Biology,1.764 ,Q1,73,296,629,https://www.journals.elsevier.com/redox-biology,2213-2317,A1
Journal of Chemical Theory and Computation,1.759 ,Q1,165,586,1722,https://pubs.acs.org/journal/jctcce,1549-9618/1549-9626,A1
Current Opinion in Electrochemistry,1.750 ,Q1,22,144,317,https://www.sciencedirect.com/journal/current-opinion-in-electrochemistry,2451-9103/2451-9111,A1
IUCrJ,1.735 ,Q1,36,118,249,https://journals.iucr.org/m/,2052-2525,A1
Chemistry - A European Journal,1.681 ,Q1,237,2198,7290,https://onlinelibrary.wiley.com/journal/15213765,Sin informacion,No
Advanced Synthesis and Catalysis,1.661 ,Q1,148,634,1642,https://onlinelibrary.wiley.com/journal/16154169,1615-4150,A1
Communications Chemistry,1.635 ,Q1,10,138,97,https://www.nature.com/commschem/,2399-3669,A1
Current Opinion in Colloid and Interface Science,1.601 ,Q1,140,88,233,https://www.sciencedirect.com/journal/current-opinion-in-colloid-and-interface-science,1359-0294/1879-0399,A1
Journal of Energy Chemistry,1.591 ,Q1,52,277,485,https://www.journals.elsevier.com/journal-of-energy-chemistry,2095-4956,A1
Chemical Record,1.589 ,Q1,74,176,365,https://onlinelibrary.wiley.com/journal/15280691,1527-8999/1528-0691,A1
Progress in Solid State Chemistry,1.553 ,Q1,47,9,26,https://www.sciencedirect.com/journal/progress-in-solid-state-chemistry,0079-6786,A1
Polymer Reviews,1.542 ,Q1,85,30,68,https://www.tandfonline.com/loi/lmsc20,1558-3716/1558-3724,A1
Journal of Proteome Research,1.539 ,Q1,156,418,1232,ttp://pubs.acs.org/journal/jprobs,1535-3893/1535-3907,A1
Chemosphere,1.530 ,Q1,228,2403,5772,https://www.journals.elsevier.com/chemosphere,0045-6535/1879-1298,A1
