Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Meditari Accountancy Research,0.954 ,Q2,19,244,91,http://emeraldgrouppublishing.com/products/journals/journals.htm?id=medar,2049-372X/2049-3738,A2
Accounting Forum,0.953 ,Q2,42,21,90,https://www.tandfonline.com/toc/racc20/current,0155-9982/1467-6303,A1
Fiscal Studies,0.953 ,Q2,38,25,84,http://www.wiley.com/bw/journal.asp?ref=0143-5671,0143-5671/1475-5890,A1
Consumption Markets and Culture,0.904 ,Q2,27,57,110,https://www.scimagojr.com/journalsearch.php?q=19700190346&tip=sid&clean=0,1025-3866/1477-223X,A1
Journal of Current Issues and Research in Advertising,0.901 ,Q2,31,24,46,https://www.scimagojr.com/journalsearch.php?q=21100286445&tip=sid&clean=0,1064-1734/2164-7313,A2
Accounting and Business Research,0.863 ,Q2,52,35,108,https://www.tandfonline.com/toc/rabr20/current,0001-4788/2159-4260,A2
Financial Analysts Journal,0.859 ,Q2,74,30,108,https://tandfonline.com/toc/ufaj20/current,0015-198X/1938-3312,A1
Financial Innovation,0.847 ,Q2,13,45,96,https://www.scimagojr.com/journalsearch.php?q=21100890672&tip=sid&clean=0,2199-4730,A1
Personnel Review,0.841 ,Q2,67,175,246,https://www.emeraldgrouppublishing.com/pr.htm,0048-3486/1758-6933,A2
Journal of Contingencies and Crisis Management,0.823 ,Q2,46,38,118,https://onlinelibrary.wiley.com/journal/14685973,0966-0879/1468-5973,A2
Journal of Economic Inequality,0.821 ,Q2,36,30,71,https://link.springer.com/journal/10888,1569-1721/1573-8701,A1
Journal of Marketing for Higher Education,0.819 ,Q2,29,24,46,http://www.informaworld.com/smpp/title~content=t792306933~db=all,0884-1241/1540-7144,A1
Behavioral Research in Accounting,0.818 ,Q2,21,18,46,https://www.scimagojr.com/journalsearch.php?q=19900193253&tip=sid&clean=0,1050-4753/1558-8009,A2
Cartography and Geographic Information Science,0.814 ,Q2,54,43,121,http://www.cartogis.org/publications/,1523-0406/1545-0465,A1
Journal of Enterprise Information Management,0.797 ,Q2,56,71,136,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jeim,1741-0398/1758-7409,A1
Career Development Quarterly,0.790 ,Q2,49,25,87,http://www.associationdatabase.com/aws/NCDA/pt/sp/cdquarterly,0889-4019/2161-0045,A2
Management Communication Quarterly,0.784 ,Q2,60,30,91,http://mcq.sagepub.com/,0893-3189/1552-6798,A1
Journal of Information Systems,0.780 ,Q2,30,34,62,https://aaahq.org/AIS/Journal,0888-7985/1558-7959,A1
4OR,0.779 ,Q2,38,30,63,http://www.springer.com/business+%26+management/operations+research/journal/10288,1614-2411/1619-4500,A2
Collection Management,0.775 ,Q2,17,37,68,http://www.informaworld.com/smpp/title~content=t792303985~db=all,0146-2679/1545-2549,A1
International Journal of Bank Marketing,0.772 ,Q2,77,115,183,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ijbm,0265-2323/1758-5937,A2
Organizational Dynamics,0.771 ,Q2,58,70,95,http://www.elsevier.com/wps/find/journaldescription.cws_home/621045/description#description,0090-2616/1873-3530,A1
Journal of Strategic Marketing,0.770 ,Q2,45,70,136,https://www.tandfonline.com/loi/rjsm20,0965-254X/1466-4488,A2
Leadership,0.769 ,Q2,41,49,103,https://journals.sagepub.com/home/lea,1742-7150/1742-7169,A1
Journal of Research in Interactive Marketing,0.762 ,Q2,31,29,72,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jrim,2040-7122/2040-7130,A2
International Journal of Management Education,0.758 ,Q2,22,58,141,https://www.scimagojr.com/journalsearch.php?q=21100206607&tip=sid&clean=0,1472-8117/2352-3565,A1
Tertiary Education and Management,0.755 ,Q2,31,37,78,http://www.informaworld.com/smpp/title~content=t777285712~db=all,1358-3883/1573-1936,A1
