Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
"Earth, Moon and Planets",0.271 ,Q4,38,7,44,http://www.springer.com/astronomy/journal/11038,Sin informacion,No
Astropolitics,0.269 ,Q4,8,15,43,http://www.informaworld.com/smpp/title~content=t713634457~db=all,1477-7622/1557-2943,A2
Journal of Spectroscopy,0.259 ,Q4,16,50,217,https://www.hindawi.com/journals/jspec/,2314-4920/2314-4939,B
High Temperature Materials and Processes,0.257 ,Q4,20,101,350,http://www.freundpublishing.com/JOURNALS/materials_science_and_engineering.htm,0334-6455/2191-0324,B
Journal of Applied Mechanics and Technical Physics,0.255 ,Q4,22,140,440,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/10808,0021-8944/1573-8620,B
Journal of Applied Optics,0.255 ,Q4,8,178,466,http://www.opticsjournal.net/Journals/yygx.htm,1002-2082,C
Applied Computational Electromagnetics Society Journal,0.250 ,Q4,28,295,591,https://aces-society.org/journal.php,1054-4887/1943-5711,B
Fuhe Cailiao Xuebao/Acta Materiae Compositae Sinica,0.247 ,Q4,24,337,1146,http://en.cnki.com.cn/Journal_en/B-B020-FUHE.htm,Sin informacion,No
Micro and Nano Letters,0.245 ,Q4,29,302,787,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=11102,1750-0443,B
International Journal of Nanotechnology,0.241 ,Q4,33,35,274,http://www.inderscience.com/browse/index.php?journalID=54,1475-7435/1741-8151,B
International Journal of Modern Physics B,0.240 ,Q4,71,470,1283,http://www.worldscinet.com/ijmpb/ijmpb.shtml,0217-9792/1793-6578,C
Materialwissenschaft und Werkstofftechnik,0.240 ,Q4,36,148,401,http://www3.interscience.wiley.com/journal/60500231/home,0933-5137/1521-4052,B
Macromolecular Symposia,0.239 ,Q4,74,150,450,http://www3.interscience.wiley.com/journal/60500249/home,Sin informacion,No
"Ferroelectrics, Letters Section",0.236 ,Q4,17,14,30,http://www.tandf.co.uk/journals/titles/07315171.asp,Sin informacion,No
Integrated Ferroelectrics,0.235 ,Q4,37,199,589,http://www.informaworld.com/smpp/title~content=t713618055~db=all,1058-4587/1607-8489,B
Journal of Nanoscience and Nanotechnology (discontinued),0.235 ,Q4,101,0,3741,https://www.scimagojr.com/journalsearch.php?q=28546&tip=sid&clean=0,Sin informacion,No
Journal of Optics (India),0.234 ,Q4,14,82,193,https://www.springer.com/journal/12596,Sin informacion,No
Materials Research Innovations,0.234 ,Q4,45,91,209,http://www.springer.com/materials/characterization+%26+evaluation/journal/10019,1432-8917/1433-075X,B
Physical Chemistry Research,0.234 ,Q4,9,54,171,http://www.physchemres.org/,2322-5521/2345-2625,B
Electromagnetics,0.233 ,Q4,32,46,139,https://www.tandfonline.com/toc/uemg20/current,0272-6343/1532-527X,B
