Nombre,Factor,Categoria,IndiceH,CantidadArticulosUltimo,CantidadArticulosUltimosTres,Enlace,ISSN,Homologacion
International Journal of Molecular Sciences,1.317,Q2,140,6385,9042,https://www.mdpi.com/journal/ijms,1422-0067/1661-6596,A1
Materials Today Chemistry,1.215,Q2,14,104,105,https://www.journals.elsevier.com/materials-today-chemistry,2468-5194,A1
ChemElectroChem,1.149,Q2,52,759,1303,https://onlinelibrary.wiley.com/journal/21960216,2196-0216,A1
Chinese Journal of Catalysis,1.14,Q2,54,187,682,https://www.sciencedirect.com/journal/chinese-journal-of-catalysis,0253-9837/1872-2067,A1
Tissue Engineering - Part A.,1.028,Q2,105,155,441,http://www.liebertonline.com/loi/tea,Sin informacion,No
Nanotechnology,1.026,Q2,195,1009,3472,http://iopscience.iop.org/journal/0957-4484,0957-4484/1361-6528,A1
Nanomedicine,0.997,Q2,102,212,664,https://www.futuremedicine.com/loi/nnm,1743-5889/1748-6963,A1
Journal of Biotechnology,0.992,Q2,147,224,996,https://www.sciencedirect.com/journal/journal-of-biotechnology,0168-1656/1873-4863,A1
New Biotechnology,0.9490000000000001,Q2,81,75,299,http://www.elsevier.com/wps/find/journaldescription.cws_home/713354/description#description,1871-6784/1876-4347,A1
Journal of diabetes science and technology,0.946,Q2,68,267,567,https://www.scimagojr.com/journalsearch.php?q=19700174684&tip=sid&clean=0,1932-2968,A1
Interface Focus,0.94,Q2,43,82,234,https://www.scimagojr.com/journalsearch.php?q=21100201986&tip=sid&clean=0,2042-8898/2042-8901,A1
Colloids and Surfaces B: Biointerfaces,0.929,Q2,143,901,2189,http://www.elsevier.com/wps/find/journaldescription.cws_home/523888/description#description,Sin informacion,No
Advances in Biochemical Engineering/Biotechnology,0.9159999999999999,Q2,84,57,137,http://www.springer.com/series/10,Sin informacion,No
Biotechnology and Genetic Engineering Reviews,0.9129999999999999,Q2,39,6,29,https://www.tandfonline.com/loi/tbgr20,0264-8725/2046-5556,A1
Frontiers in Bioengineering and Biotechnology,0.9079999999999999,Q2,36,436,359,https://www.frontiersin.org/journals/bioengineering-and-biotechnology,2296-4185,A2
Journal of Industrial Microbiology and Biotechnology,0.902,Q2,106,153,410,http://www.springer.com/life+sciences/biochemistry+%26+biophysics/journal/10295,1367-5435/1476-5535,A2
"Protein Engineering, Design and Selection",0.888,Q2,106,41,193,http://peds.oxfordjournals.org/,Sin informacion,No
Biochemical Engineering Journal,0.879,Q2,118,317,785,http://www.elsevier.com/wps/find/journaldescription.cws_home/600804/description#description,1369-703X/1873-295X,A1
Food Structure,0.858,Q2,14,26,61,https://www.journals.elsevier.com/food-structure,2213-3291,A1
Synthesis,0.858,Q2,135,436,1425,http://www.thieme-chemistry.com/products/journals/synthesis.html,0039-7881/1437-210X,A1
Tissue Engineering - Part C: Methods,0.8440000000000001,Q2,65,71,272,https://www.liebertpub.com/loi/tec,Sin informacion,No
Macromolecular Bioscience,0.8340000000000001,Q2,99,160,525,http://www3.interscience.wiley.com/journal/77002860/home,1616-5187/1616-5195,A1
Journal of Water Process Engineering,0.8079999999999999,Q2,35,317,472,https://www.scimagojr.com/journalsearch.php?q=21100324365&tip=sid&clean=0,2214-7144,A1
Artificial Organs,0.8059999999999999,Q2,72,213,578,http://www.wiley.com/bw/journal.asp?ref=0160-564X,0160-564X/1525-1594,A2
Enzyme and Microbial Technology,0.795,Q2,141,139,462,http://www.elsevier.com/wps/find/journaldescription.cws_home/525004/description#description,0141-0229/1879-0909,A2
Biodegradation,0.792,Q2,75,39,101,http://www.springer.com/life+sciences/microbiology/journal/10532,0923-9820/1572-9729,A1
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0.78,Q2,160,1092,2669,https://www.sciencedirect.com/journal/colloids-and-surfaces-a-physicochemical-and-engineering-aspects,Sin informacion,No
Biomedical Materials (Bristol),0.767,Q2,66,109,374,https://iopscience.iop.org/journal/1748-605X,Sin informacion,No
Journal of Biomedical Nanotechnology,0.762,Q2,70,205,517,https://www.scimagojr.com/journalsearch.php?q=11700154733&tip=sid&clean=0,1550-7033/1550-7041,A1
Bioresource Technology Reports,0.758,Q2,9,248,96,https://www.scimagojr.com/journalsearch.php?q=21100933233&tip=sid&clean=0,2589-014X,A2
Food Biophysics,0.745,Q2,45,54,140,http://www.springer.com/food+science/journal/11483,1557-1858/1557-1866,A1
Topics in Catalysis,0.727,Q2,107,135,590,http://www.springer.com/chemistry/journal/11244,1022-5528/1572-9028,A1
Process Biochemistry,0.718,Q2,149,305,923,https://www.journals.elsevier.com/process-biochemistry,0032-9592/1359-5113,A2
Journal of Separation Science,0.7170000000000001,Q2,98,364,1549,http://www3.interscience.wiley.com/journal/117935715/grouphome/home.html,1615-9306/1615-9314,A2
Nanotechnology Reviews,0.695,Q2,24,46,130,https://www.scimagojr.com/journalsearch.php?q=21100372101&tip=sid&clean=0,2191-9089/2191-9097,A1
Bioengineering,0.677,Q2,19,100,236,https://www.scimagojr.com/journalsearch.php?q=21100886380&tip=sid&clean=0,2306-5354,A2
Journal of Bioscience and Bioengineering,0.65,Q2,104,228,662,https://www.journals.elsevier.com/journal-of-bioscience-and-bioengineering/,1347-4421/1389-1723,A2
Bioprocess and Biosystems Engineering,0.633,Q2,64,187,523,https://www.springer.com/journal/449,1615-7591/1615-7605,A2
IEEE Transactions on Nanobioscience,0.62,Q2,60,84,266,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7728,1536-1241/1558-2639,A2
Chemometrics and Intelligent Laboratory Systems,0.617,Q2,117,154,574,http://www.elsevier.com/wps/find/journaldescription.cws_home/502682/description#description,0169-7439/1873-3239,A1
Particuology,0.596,Q2,53,137,323,http://www.elsevier.com/wps/find/journaldescription.cws_home/714856/description#description,1674-2001/2210-4291,A2
Biotechnology Letters,0.595,Q2,101,136,669,http://www.springer.com/life+sciences/microbiology/journal/10529,0141-5492/1573-6776,A2
Crystals,0.594,Q2,28,648,1013,https://www.mdpi.com/journal/crystals,2073-4352,A2
Science and Technology for the Built Environment,0.594,Q2,55,129,333,https://www.tandfonline.com/toc/uhvc21/current,2374-4731/2374-474X,A2
Maderas: Ciencia y Tecnologia,0.593,Q2,23,52,195,http://revistas.ubiobio.cl/index.php/MCT,Sin informacion,No
International Journal of Air-Conditioning and Refrigeration,0.59,Q2,12,46,116,https://www.worldscientific.com/worldscinet/ijacr,Sin informacion,No
Plasma Chemistry and Plasma Processing,0.59,Q2,61,98,275,http://www.springer.com/new+%26+forthcoming+titles+%28default%29/journal/11090,0272-4324/1572-8986,A2
Solvent Extraction and Ion Exchange,0.589,Q2,58,38,137,http://www.informaworld.com/smpp/title~content=t713597298~db=all,0736-6299/1532-2262,A2
"Journal of Biomaterials Science, Polymer Edition",0.5820000000000001,Q2,94,106,418,http://www.brill.nl/default.aspx?partid=212&pid=9739,Sin informacion,No
Korean Journal of Chemical Engineering,0.58,Q2,56,241,1076,http://www.springer.com/chemistry/journal/11814,0256-1115/1975-7220,A2
Computational Particle Mechanics,0.579,Q2,19,84,131,https://link.springer.com/journal/40571,2196-4378/2196-4386,A1
"JAOCS, Journal of the American Oil Chemists' Society",0.5770000000000001,Q2,111,124,453,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1558-9331,Sin informacion,No
Food Technology and Biotechnology,0.575,Q2,61,56,176,http://www.ftb.com.hr/,1330-9862/1334-2606,A2
