Nombre,Enlace,Categoria,CantidadArticulos
Journal of the Electrochemical Society,http://jes.ecsdl.org/,Q2,4478
"Biofuels, Bioproducts and Biorefining",https://onlinelibrary.wiley.com/journal/19321031,Q2,248
Biomass and Bioenergy,https://www.journals.elsevier.com/biomass-and-bioenergy,Q2,885
Sustainable Environment Research,https://sustainenvironres.biomedcentral.com/,Q2,140
Wiley Interdisciplinary Reviews: Energy and Environment,https://onlinelibrary.wiley.com/journal/2041840x,Q2,120
Sustainable Development,https://onlinelibrary.wiley.com/journal/10991719,Q2,160
Journal of Wind Engineering and Industrial Aerodynamics,http://www.elsevier.com/wps/find/journaldescription.cws_home/505658/description#description,Q2,652
International Journal of Sustainable Built Environment,https://www.gord.qa/institute/ijsbe,Q2,108
Sustainable Production and Consumption,https://www.journals.elsevier.com/sustainable-production-and-consumption,Q2,127
Wind Energy,https://onlinelibrary.wiley.com/journal/10991824,Q2,371
High Voltage,https://www.scimagojr.com/journalsearch.php?q=21100931381&tip=sid&clean=0,Q2,76
Dianli Xitong Zidonghua/Automation of Electric Power Systems,http://www.aeps-info.com/aeps/home,Q2,1793
Bioresources and Bioprocessing,https://bioresourcesbioprocessing.springeropen.com/,Q2,156
Petroleum,http://www.keaipublishing.com/en/journals/petroleum/,Q2,137
Journal of Propulsion and Power,https://arc.aiaa.org/jpp/about,Q2,433
Climate Law,https://www.scimagojr.com/journalsearch.php?q=21100220394&tip=sid&clean=0,Q2,52
Energy Efficiency,http://www.springer.com/engineering/energy+technology/journal/12053,Q2,311
"Journal of King Saud University, Engineering Sciences",https://www.journals.elsevier.com/journal-of-king-saud-university-engineering-sciences/,Q2,136
Bioresource Technology Reports,https://www.scimagojr.com/journalsearch.php?q=21100933233&tip=sid&clean=0,Q2,96
"Journal of Energy Resources Technology, Transactions of the ASME",http://asmedl.aip.org/EnergyResources/,Q2,424
SPE Production and Operations,http://www.spe.org/papers/pubs/POjournal.php,Q2,157
Petroleum Exploration and Development,https://www.sciencedirect.com/journal/petroleum-exploration-and-development,Q2,351
Progress in Nuclear Energy,https://www.journals.elsevier.com/progress-in-nuclear-energy,Q2,686
Energy Science and Engineering,https://onlinelibrary.wiley.com/journal/20500505,Q2,123
Nanotechnology Reviews,https://www.scimagojr.com/journalsearch.php?q=21100372101&tip=sid&clean=0,Q2,130
Journal of Petroleum Geology,http://www.wiley.com/bw/journal.asp?ref=0141-6421,Q2,64
South African Journal of Chemical Engineering,https://www.journals.elsevier.com/south-african-journal-of-chemical-engineering,Q2,85
"Sustainability Accounting, Management and Policy Journal",https://www.scimagojr.com/journalsearch.php?q=21100227406&tip=sid&clean=0,Q2,79
SAE International Journal of Fuels and Lubricants,https://www.sae.org/publications/collections/content/E-JOURNAL-04/,Q2,171
Environment,http://www.heldref.org/pubs/env/about.html,Q2,84
Journal of Chemical Technology and Biotechnology,http://www3.interscience.wiley.com/journal/117946200/grouphome/home.html,Q2,1051
Meitan Xuebao/Journal of the China Coal Society,https://www.scimagojr.com/journalsearch.php?q=16430&tip=sid&clean=0,Q2,1510
"Energy, Sustainability and Society",https://energsustainsoc.biomedcentral.com/,Q2,109
International Journal of Spray and Combustion Dynamics,https://www.scimagojr.com/journalsearch.php?q=19800188068&tip=sid&clean=0,Q2,83
Frontiers in Energy Research,https://www.frontiersin.org/journals/energy-research,Q2,191
Energies,https://www.mdpi.com/journal/energies,Q2,6667
Agroecology and Sustainable Food Systems,https://www.tandfonline.com/loi/wjsa21,Q2,189
Bioenergy Research,https://www.springer.com/journal/12155,Q2,275
Journal of Engineering for Gas Turbines and Power,http://www.asmedl.org/GasTurbinesPower,Q2,840
International Journal on Energy Conversion,https://www.praiseworthyprize.org/jsm/index.php?journal=irecon,Q2,49
Electricity Journal,https://www.journals.elsevier.com/the-electricity-journal,Q2,296
Clean Energy,https://www.scimagojr.com/journalsearch.php?q=21100936535&tip=sid&clean=0,Q2,27
Journal of Daylighting,http://solarlits.com/jd/index,Q2,10
Journal of Nuclear Science and Technology,http://wwwsoc.nii.ac.jp/aesj/jnst/,Q2,516
"Journal of Solar Energy Engineering, Transactions of the ASME",http://www.asmedl.org/Solar,Q2,297
IEEE Transactions on Nuclear Science,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=23,Q2,1146
Combustion Science and Technology,http://www.informaworld.com/smpp/title~content=t713456315~db=all,Q2,396
Geothermal Energy,https://link.springer.com/journal/40517,Q2,74
International Journal of Air-Conditioning and Refrigeration,https://www.worldscientific.com/worldscinet/ijacr,Q2,116
Journal of Offshore Mechanics and Arctic Engineering,https://asmedigitalcollection.asme.org/offshoremechanics,Q2,234
"International Journal of Turbomachinery, Propulsion and Power",https://www.scimagojr.com/journalsearch.php?q=21100943564&tip=sid&clean=0,Q2,47
Horticultural Plant Journal,https://www.scimagojr.com/journalsearch.php?q=21100900275&tip=sid&clean=0,Q2,31
Sustainability,https://www.mdpi.com/journal/sustainability,Q2,8731
Waste and Biomass Valorization,https://www.scimagojr.com/journalsearch.php?q=19600157918&tip=sid&clean=0,Q2,691
Fuel Cells,http://www3.interscience.wiley.com/journal/84502986/home,Q2,282
