Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Neurogenesis,0.588 ,Q4,7,0,29,https://www.tandfonline.com/toc/kngs20/current,Sin informacion,No
Anemia,0.565 ,Q4,22,8,28,https://www.hindawi.com/journals/anemia/,2090-1267/2090-1275,B
Tissue and Cell,0.561 ,Q4,49,82,257,http://www.elsevier.com/wps/find/journaldescription.cws_home/623075/description#description,0040-8166/1532-3072,A2
Experimental and Toxicologic Pathology,0.559 ,Q4,62,0,149,https://www.journals.elsevier.com/experimental-and-toxicologic-pathology,1618-1433,A2
Vascular Cell,0.559 ,Q4,31,0,9,https://www.scimagojr.com/journalsearch.php?q=19700201695&tip=sid&clean=0,2045-824X,A2
Oncology Research and Treatment,0.558 ,Q4,46,119,433,https://www.scimagojr.com/journalsearch.php?q=21100316070&tip=sid&clean=0,2296-5262/2296-5270,B
Cancer Biotherapy and Radiopharmaceuticals,0.544 ,Q4,57,87,159,http://www.liebertpub.com/products/product.aspx?pid=8,1084-9785/1557-8852,A2
Zoomorphology,0.540 ,Q4,38,43,133,http://www.springer.com/life+sciences/animal+sciences/journal/435,0720-213X/1432-234X,A2
Technology in Cancer Research and Treatment,0.526 ,Q4,61,166,423,https://www.scimagojr.com/journalsearch.php?q=13158&tip=sid&clean=0,1533-0338/1533-0346,A2
In Vitro Cellular and Developmental Biology - Animal,0.513 ,Q4,60,105,341,http://www.springer.com/life+sciences/cell+biology/journal/11626,Sin informacion,No
Experimental and Therapeutic Medicine (discontinued),0.508 ,Q4,38,204,4037,https://www.scimagojr.com/journalsearch.php?q=19700176236&tip=sid&clean=0,Sin informacion,No
Asian Pacific Journal of Cancer Prevention,0.502 ,Q4,70,525,2109,http://journal.waocp.org/,1513-7368/2476-762X,A2
Pathogenesis,0.502 ,Q4,7,0,3,https://www.scimagojr.com/journalsearch.php?q=91528&tip=sid&clean=0,Sin informacion,No
BMC Hematology,0.500 ,Q4,18,13,89,https://bmchematol.biomedcentral.com/,2052-1839,B
International Journal of Cosmetic Science,0.494 ,Q4,58,69,234,https://onlinelibrary.wiley.com/journal/14682494,0142-5463/1468-2494,A2
Regenerative Therapy,0.490 ,Q4,11,75,95,https://www.journals.elsevier.com/regenerative-therapy,2352-3204,B
Tropical Plant Biology,0.481 ,Q4,22,30,56,http://www.springer.com/life+sciences/plant+sciences/journal/12042,1935-9756/1935-9764,A2
Reproductive Biomedicine and Society Online,0.475 ,Q4,10,12,85,https://www.journals.elsevier.com/reproductive-biomedicine-and-society-online,2405-6618,A1
Canadian Entomologist,0.473 ,Q4,40,78,191,https://www.cambridge.org/core/journals/canadian-entomologist,0008-347X/1918-3240,A2
International Journal of Plant Genomics,0.472 ,Q4,28,0,4,http://www.hindawi.com/journals/ijpg/,Sin informacion,No
