Nombre,Enlace,Categoria,CantidadArticulos
Journal of Applied Probability,https://www.scimagojr.com/journalsearch.php?q=23838&tip=sid&clean=0,Q3,257
North American Actuarial Journal,https://www.scimagojr.com/journalsearch.php?q=19600157009&tip=sid&clean=0,Q3,93
Statistica Neerlandica,http://www.wiley.com/bw/journal.asp?ref=0039-0402,Q3,65
Computational Statistics,http://www.springer.com/statistics/journal/180,Q3,234
Journal of Applied Statistics,http://www.informaworld.com/smpp/title~content=t713428038~db=all,Q3,545
Statistics and Public Policy,https://www.scimagojr.com/journalsearch.php?q=21100941199&tip=sid&clean=0,Q3,39
Statistical Methods and Applications,https://www.springer.com/journal/10260,Q3,107
International Journal of Shipping and Transport Logistics,https://www.scimagojr.com/journalsearch.php?q=19700187506&tip=sid&clean=0,Q3,99
Journal of Business Cycle Research,https://www.springer.com/journal/41549,Q3,29
Logistics Research,https://www.scimagojr.com/journalsearch.php?q=19400158510&tip=sid&clean=0,Q3,47
Journal of Statistical Mechanics: Theory and Experiment,http://www.iop.org/EJ/journal/JSTAT,Q3,1005
Journal of Management Control,https://www.springer.com/journal/187,Q3,53
Theory of Probability and its Applications,http://www.siam.org/journals/tvp.php,Q3,158
SORT,https://www.idescat.cat/sort/,Q3,44
Mathematical Social Sciences,https://www.journals.elsevier.com/mathematical-social-sciences,Q3,185
Knowledge Management Research and Practice,http://www.palgrave-journals.com/kmrp/index.html,Q3,129
Regional Statistics,https://www.ksh.hu/terstat_eng,Q3,63
Journal of Management Analytics,https://www.scimagojr.com/journalsearch.php?q=21100886542&tip=sid&clean=0,Q3,55
International Journal of Game Theory,http://www.springer.com/economics/economic+theory/journal/182,Q3,163
Sankhya A,https://www.springer.com/statistics/journal/13171,Q3,59
Journal of Science and Technology Policy Management,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=jstpm,Q3,64
Australian and New Zealand Journal of Statistics,https://onlinelibrary.wiley.com/journal/1467842x,Q3,82
IET Networks,https://digital-library.theiet.org/content/journals/iet-net,Q3,118
Uncertain Supply Chain Management,https://www.scimagojr.com/journalsearch.php?q=21100806906&tip=sid&clean=0,Q3,83
Games,https://www.mdpi.com/journal/games,Q3,191
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,http://www.zwf-online.de/web/o_archiv.asp?task=04&o_id=20080609145437-49&navid=0,Q3,585
Journal of Quantitative Analysis in Sports,https://www.degruyter.com/view/j/jqas,Q3,44
Asia-Pacific Journal of Operational Research,http://www.worldscinet.com/apjor/apjor.shtml,Q3,166
Journal of the Operations Research Society of China,https://www.scimagojr.com/journalsearch.php?q=21100301413&tip=sid&clean=0,Q3,97
Built Environment Project and Asset Management,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=bepam,Q3,123
Pakistan Journal of Statistics and Operation Research,http://www.pjsor.com/index.php/pjsor,Q3,167
International Journal of Product Lifecycle Management,http://www.inderscience.com/browse/index.php?journalID=139,Q3,53
Probability in the Engineering and Informational Sciences,http://journals.cambridge.org/action/displayJournal?jid=PES,Q3,99
Foresight and STI Governance,https://foresight-journal.hse.ru/en/,Q3,84
Management and Production Engineering Review,http://journals.pan.pl/mper,Q3,125
OPSEARCH,https://www.springer.com/journal/12597,Q3,131
Competition and Regulation in Network Industries,https://www.scimagojr.com/journalsearch.php?q=21100244225&tip=sid&clean=0,Q3,32
Journal of Global Operations and Strategic Sourcing,https://www.emeraldinsight.com/journal/jgoss,Q3,47
"Foundations and Trends in Technology, Information and Operations Management",https://www.scimagojr.com/journalsearch.php?q=11900154344&tip=sid&clean=0,Q3,31
New Directions for Evaluation,https://www.scimagojr.com/journalsearch.php?q=5600155030&tip=sid&clean=0,Q3,131
International Journal of Agile Systems and Management,https://www.inderscience.com/jhome.php?jcode=ijasm,Q3,51
Journal of Modern Applied Statistical Methods,https://digitalcommons.wayne.edu/jmasm/,Q3,197
RAIRO - Operations Research,"http://www.rairo-ro.org/content/view/98/102/lang,en/",Q3,216
Statistics and Risk Modeling,https://www.degruyter.com/view/j/strm,Q3,28
Mathematical Methods of Statistics,https://www.scimagojr.com/journalsearch.php?q=21100200410&tip=sid&clean=0,Q3,57
International Journal of Mathematics in Operational Research,https://www.inderscience.com/jhome.php?jcode=ijmor,Q3,163
Creativity,https://www.scimagojr.com/journalsearch.php?q=21100896926&tip=sid&clean=0,Q3,20
International Journal of Operational Research,http://www.inderscience.com/browse/index.php?journalID=170,Q3,252
International Journal of Process Management and Benchmarking,http://www.inderscience.com/browse/index.php?journalID=95,Q3,79
International Journal of Engineering Business Management,https://journals.sagepub.com/home/enb,Q3,82
Journal of Futures Studies,http://www.jfs.tku.edu.tw/,Q3,100
Academia Revista Latinoamericana de Administracion,https://www.scimagojr.com/journalsearch.php?q=19700173246&tip=sid&clean=0,Q3,99
International Journal of Business Environment,http://www.inderscience.com/jhome.php?jcode=ijbe,Q3,29
International Journal of Emergency Services,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=ijes,Q3,60
International Journal for Quality Research,http://www.ijqr.net,Q3,172
Journal of Grey System,http://www.researchinformation.co.uk/grey.php,Q3,142
Cogent Business and Management,https://www.tandfonline.com/toc/oabm20/current,Q3,308
Theory of Probability and Mathematical Statistics,https://www.scimagojr.com/journalsearch.php?q=21100209308&tip=sid&clean=0,Q3,82
International Journal of Intelligent Information Technologies,http://www.igi-global.com/Bookstore/TitleDetails.aspx?TitleId=1089,Q3,50
Journal of Statistics Education,http://www.amstat.org/publications/jse/,Q3,63
International Journal of Services and Operations Management,https://www.inderscience.com/jhome.php?jcode=ijsom,Q3,235
Environmental and Ecological Statistics,http://www.springer.com/life+sciences/ecology/journal/10651,Q3,87
International Journal of Knowledge Management Studies,https://www.inderscience.com/jhome.php?jcode=ijkms,Q3,66
Foresight,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=fs,Q3,114
"Statistics, Optimization and Information Computing",http://www.iapress.org/index.php/soic/index,Q3,101
International Journal of Globalisation and Small Business,https://www.inderscience.com/jhome.php?jcode=ijgsb,Q3,43
International Journal of Business Performance and Supply Chain Modelling,https://www.inderscience.com/jhome.php?jcode=ijbpscm,Q3,42
Journal of Intelligence Studies in Business,https://ojs.hh.se/index.php/JISIB,Q3,53
Fuzzy Information and Engineering,https://www.tandfonline.com/loi/tfie20,Q3,85
Journal of Information Technology Case and Application Research,https://www.scimagojr.com/journalsearch.php?q=21100886533&tip=sid&clean=0,Q3,58
Annals of Actuarial Science,https://www.scimagojr.com/journalsearch.php?q=21100889419&tip=sid&clean=0,Q3,23
International Journal of Data Analysis Techniques and Strategies,https://www.scimagojr.com/journalsearch.php?q=21100204516&tip=sid&clean=0,Q3,68
Managerial and Decision Economics,http://www3.interscience.wiley.com/journal/7976/home,Q3,219
Modern Stochastics: Theory and Applications,https://www.scimagojr.com/journalsearch.php?q=21100898991&tip=sid&clean=0,Q3,27
Statistical Journal of the IAOS,http://www.iospress.nl/loadtop/load.php?isbn=18747655,Q3,266
